"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "teach_multicult"
"1" 75600001 1 1 0 5 0 -1.8939 2.7249 0.7703 -0.1566 -0.3819 1.1793 -0.2255 0.6148 0.2485 1.0346 225 270 270 389.483 429.07 521.594 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"7" 75600001 1 2 2 0 0 -0.3799 -0.8454 0.2907 0.1399 -0.3819 0.2646 0.7857 -2.1793 -0.0037 -0.6576 90 90 90 444.998 422.24 423.611 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"11" 75600001 0 3 2 3 0 -0.3009 -0.0845 0.1462 0.0166 -1.2227 1.1793 0.4015 -0.7403 -0.9734 -0.6576 90 135 225 373.121 325.205 323.682 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"13" 75600001 1 1 0 5 1 -1.059 -0.3184 1.1211 0.889 0.1464 1.1793 1.087 0.4855 -2.0248 0.0116 270 225 135 532.157 500.605 490.741 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"14" 75600001 1 1 2 5 0 -0.9823 0.9517 -0.7823 0.1302 -0.1932 -0.6853 0.2618 0.5324 0.2485 1.0346 225 225 180 671.642 648.419 707.303 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"16" 75600001 0 1 0 4 0 -1.4242 0.9517 -0.7823 0.2266 -0.1932 -0.6122 0.7857 -0.1271 -0.7074 1.0346 180 180 180 516.623 535.712 505.279 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"17" 75600001 0 1 0 5 0 0.5949 -0.8082 1.7316 0.6204 0.495 -0.1357 0.834 0.7399 -1.1481 0.6402 180 225 180 364.886 434.933 387.18 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"18" 75600001 1 1 0 5 0 -1.8939 2.7249 -0.7823 0.3504 0.6045 1.1793 0.7223 -0.4265 -0.7659 0.5029 675 675 675 332.176 288.874 302.944 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"22" 75600001 0 2 2 2 0 -0.9823 0.1791 -0.7823 0.1433 0.4765 1.1793 -0.1273 -0.6861 -0.2441 -1.06 135 90 225 421.058 387.157 380.062 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"26" 75600001 1 2 2 5 0 -0.9823 1.4685 -0.7823 -0.6232 -0.6541 0.1806 -0.243 -0.5336 -0.1931 0.6402 225 225 180 417.806 445.179 487 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"28" 75600001 0 3 2 5 0 1.1422 1.4326 -0.7823 0.125 -0.1052 1.1793 0.7077 -0.2498 0.039 1.0346 225 225 90 470.452 491.269 461.516 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"32" 75600001 1 1 0 5 0 1.3423 -1.4842 3.8591 0.9124 -0.0502 -0.6853 1.9429 1.3932 -0.5488 0.6402 225 315 360 557.755 427.509 556.349 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"33" 75600002 0 2 1 6 0 -0.687 0.9423 -0.7823 1.158 1.0087 0.6763 0.2953 1.4937 1.314 1.0346 180 180 90 623.567 561.19 618.341 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"34" 75600002 1 2 2 3 0 0.4637 -0.0358 -0.7823 1.3733 1.1953 1.1793 1.094 0.1147 1.314 -0.6576 225 180 270 668.842 600.611 571.298 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"35" 75600002 0 2 2 6 0 -0.4342 2.7249 -0.7823 0.9771 0.5835 1.1793 0.7168 1.2041 0.4522 1.0346 180 180 180 617.707 556.951 560.788 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"36" 75600002 1 1 2 6 1 -1.4242 0.3241 -0.7823 0.337 0.2269 -2.049 1.7754 1.1462 -0.3971 0.5029 135 180 90 499.3 461.516 525.947 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"37" 75600002 0 3 3 6 0 0.052 2.7249 -0.7823 0.4872 -0.1932 -0.1357 1.1544 1.1183 -0.828 1.0346 225 135 180 520.956 535.075 456.029 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"38" 75600002 1 3 2 6 0 -0.3799 0.6818 -0.7823 0.2106 -0.3819 1.1793 0.5022 0.7759 -0.2023 0.6402 270 180 270 531.821 498.853 605.941 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"39" 75600002 1 1 0 6 0 -1.8939 -0.4509 1.1625 -0.8961 -0.3819 -0.6122 -1.0624 0.5112 1.314 1.0346 180 180 90 743.54 627.748 641.895 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"41" 75600002 1 1 0 6 0 1.3423 -0.6913 0.2907 0.2698 -0.474 0.1806 0.2631 0.9229 0.3995 -0.6576 180 180 90 573.237 592.847 588.275 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"42" 75600002 1 1 0 6 0 0.9606 2.7249 0.2907 0.2746 -0.3819 -0.1357 0.8907 0.8657 0.039 0.2169 270 180 360 637.592 630.523 685.431 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"43" 75600002 0 1 0 5 1 -0.13 0.3241 0.2907 0.2675 0.1299 -0.6853 0.291 0.5643 -0.9734 -1.58 180 180 90 517.439 445.503 483.866 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"44" 75600002 0 1 2 6 1 -1.1858 0.3241 -0.7823 1.1586 1.0087 -0.1357 0.8181 1.4025 -0.9734 1.0346 180 180 90 565.518 632.281 568.95 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"45" 75600002 0 3 2 5 0 1.8905 -1.308 -0.7823 1.2097 1.5465 1.1793 0.2044 1.1253 -0.2023 -0.6576 180 180 90 630.65 701.176 670.183 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"46" 75600002 1 1 0 3 0 -1.4869 0.4458 0.2907 0.4443 -0.474 -0.1357 0.4828 -0.1422 -0.2023 -1.0657 270 180 360 668.665 629.128 658.297 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"47" 75600002 0 3 2 5 0 -0.687 1.4903 -0.7823 0.8671 0.6634 1.1793 0.6222 0.9803 -0.7074 -0.6576 180 135 360 566.752 524.833 561.67 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"48" 75600002 0 1 2 6 0 0.052 2.7249 -0.7823 0.2689 0.872 0.1806 -0.3133 1.1551 -0.3172 1.0346 180 180 360 762.332 728.007 778.287 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"49" 75600002 0 2 3 6 0 1.4083 -0.4701 0.1462 2.4246 1.1953 1.1793 1.3043 1.9476 0.2148 0.5029 180 180 90 578.911 544.763 560.614 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"50" 75600002 0 1 0 5 0 0.4637 0.1889 -0.7823 0.9115 0.0213 1.1793 1.7754 0.7352 0.2485 0.0224 180 180 270 540.549 483.74 498.569 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"53" 75600002 1 1 0 6 0 -1.4869 0.2863 1.5346 0.3474 0.6997 -1.0527 -0.0731 0.8338 0.0703 0.6364 180 135 90 711.555 685.908 778.35 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"54" 75600002 1 3 2 6 0 1.4083 -1.2403 0.2907 1.0306 0.495 1.1793 1.3877 1.3483 -0.4795 -0.6439 180 180 90 604.7 624.124 612.362 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"55" 75600002 0 1 2 6 0 -1.059 -0.6123 -0.7823 -0.8814 -0.1611 -0.6122 -1.3018 0.6306 -1.5794 -0.6576 180 135 180 543.408 450.174 467.669 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"56" 75600002 0 1 0 6 1 0.4637 -0.763 -0.7823 1.4474 1.0087 -0.1357 1.0685 1.6539 -0.7074 -0.6576 225 135 180 586.898 595.713 559.813 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"57" 75600002 1 1 0 5 1 1.8905 2.7249 -0.7823 0.995 1.0087 -0.6122 0.5524 0.7218 0.7015 -0.6576 225 180 270 619.681 676.188 602.87 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"58" 75600002 0 2 2 6 0 -0.13 1.4685 -0.7823 0.7104 0.3574 1.1793 0.4597 1.0912 0.7628 1.0346 180 180 90 641.694 583.289 508.659 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"59" 75600002 1 3 2 6 0 -1.8939 0.0348 1.1625 0.1682 0.2269 -0.1357 -0.0962 0.0035 -0.3882 -0.6439 225 180 180 660.153 518.961 564.147 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"60" 75600002 1 1 2 6 0 -0.687 -0.6228 -0.7823 0.7876 1.0087 0.1806 0.4475 1.0248 -0.5488 1.0346 180 180 90 530.072 429.581 458.441 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"61" 75600002 1 1 0 6 0 -0.2006 0.4766 0.7703 0.2424 0.1299 -0.1357 0.4015 0.9869 -0.3971 -0.6576 180 180 180 631.483 646.612 626.274 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"62" 75600002 1 2 3 6 0 0.176 2.7249 -0.7823 0.3531 0.872 1.1191 0.1219 -0.1849 1.314 1.0346 225 225 135 649.693 618.52 629.294 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"63" 75600002 0 1 0 6 0 1.8905 -0.9139 0.7703 0.4738 1.5465 -0.4903 -0.5536 0.9911 0.2485 -0.6439 180 180 180 594.684 642.548 678.546 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"64" 75600002 1 1 0 6 0 -1.4869 0.3241 -0.7823 0.9769 0.1299 -0.1357 1.5516 1.4473 -0.1298 1.0346 360 180 180 566.816 568.605 665.6 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"65" 75600002 0 3 3 6 0 0.4637 -0.3184 -0.7823 0.8698 0.6561 -0.1357 1.0887 1.2803 -1.1481 1.0346 180 180 90 581.667 534.363 549.249 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"66" 75600002 1 3 2 4 0 -1.8939 -0.7764 0.1462 0.4549 0.4816 -1.0193 0.868 0.0334 -0.3971 -1.0657 180 135 180 574.498 478.763 526.475 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"68" 75600003 1 1 0 6 0 -0.687 1.4903 -0.7823 0.5559 0.9524 1.1793 -0.6931 1.1059 0.385 0.6402 270 180 270 758.378 647.855 664 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"69" 75600003 0 1 0 6 0 -0.687 0.6818 -0.7823 0.5484 0.6045 -0.1357 0.5953 1.1225 -1.1408 1.0346 225 180 90 680.862 730.988 680.67 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"71" 75600003 0 1 0 6 0 -0.9295 0.9683 -0.7823 0.6121 0.1299 -0.1357 1.2898 1.1296 -0.013 0.6402 180 135 180 674.41 563.021 516.966 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"75" 75600003 0 1 0 6 0 -1.8939 0.9683 -0.7823 0.0443 0.2126 -0.1357 -0.1689 0.7333 -0.5973 1.0346 180 180 90 592.428 671.842 613.283 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"76" 75600003 1 2 3 3 0 -0.7592 2.7249 0.7703 0.7532 0.5835 -0.1357 0.7633 -0.1988 -0.5973 -1.3939 225 135 315 569.263 462.425 463.564 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"78" 75600003 1 2 2 4 0 -1.8939 1.4326 -0.7823 1.7231 1.1953 1.1793 1.1271 0.6291 1.314 1.0346 270 180 180 695.419 732.894 618.029 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"80" 75600003 0 2 3 6 0 1.0944 -0.0633 0.7703 0.3278 0.5835 -0.1357 0.0381 0.6799 -1.8358 1.0346 270 180 270 617.949 571.775 530.04 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"86" 75600003 0 1 0 6 0 -0.7592 2.7249 0.2907 1.2511 1.5465 -0.1357 0.422 1.2789 -1.1965 0.6364 225 180 360 685.319 651.32 640.749 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"87" 75600003 0 1 0 6 0 -0.687 0.1634 -0.7823 -0.6782 -0.0244 -0.1357 -1.3301 0.7543 -0.819 1.0346 225 180 180 649.957 678.211 624.88 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
