"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav"
"1" 5600001 0 1 0 6 0 -0.3799 0.3018 0.7703 0.3208 -0.0102 -0.6122 0.9053 0.9561 0.4394 1.0346 0 250 200 500 365.621 422.648 484.802 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"3" 5600001 0 1 0 4 0 0.4637 -0.445 1.1625 -0.5983 -0.1552 -0.1357 -0.4518 -0.402 -0.7074 -1.5824 2 150 200 250 458.569 469.018 435.863 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"4" 5600001 1 1 0 3 1 -1.8939 0.052 1.1928 -0.2993 -1.2782 -1.4924 0.9566 -0.4611 0.7628 1.0346 2 100 100 0 454.381 428.327 471.138 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"5" 5600001 1 1 1 6 0 -1.8939 -0.0939 0.7703 0.6922 0.6026 -0.6122 0.6541 1.1952 -1.1284 -0.6576 1 150 200 200 527.365 480.877 483.301 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"6" 5600001 0 3 2 5 1 -0.3799 -0.4415 0.2907 0.1755 -1.8696 1.1793 0.5116 -0.2227 -0.5973 1.0346 1 250 200 100 431.747 483.288 411.051 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"7" 5600001 0 1 0 6 0 -0.3799 0.0834 -0.7823 0.4681 -0.0102 0.1806 0.8103 0.0254 -0.6587 1.0346 0 180 120 0 335.815 397.44 385.422 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"9" 5600001 0 1 0 4 0 -0.687 -0.5582 0.2907 -0.6052 -0.7708 0.0477 -0.2264 -0.9525 -0.7074 -0.6576 0 100 100 0 406.72 392.419 381.487 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"10" 5600001 0 1 0 4 1 -0.687 -0.3184 -0.7823 -0.9828 -1.8696 -0.1357 -0.7924 -1.3937 -0.9422 -0.6576 1 150 150 200 424.894 407.63 383.793 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"11" 5600001 0 1 1 4 0 0.1097 -0.4415 -0.7823 0.6246 0.3153 1.1793 0.4755 -0.5918 -0.5488 0.6364 0 150 200 350 464.787 582.273 556.646 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"13" 5600001 0 1 1 6 0 -0.687 1.4903 0.2907 1.0669 0.4984 0.1806 1.4395 1.373 -1.5447 -1.1847 1 150 200 200 504.873 467.483 454.485 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
