"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "teach_multicult"
"1" 72400001 1 2 0 6 1 -0.2006 0.6818 -0.7823 0.0965 0.3171 -1.0118 0.107 -0.0156 0.7628 -1.3939 1 220 220 165 417.682 459.361 511.643 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"3" 72400001 0 1 0 6 0 -1.8939 1.4685 -0.7823 -0.0912 -0.0689 -0.6853 -0.0379 0.812 -0.0037 1.0346 0 240 240 360 497.577 569.711 449.586 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"4" 72400001 0 1 0 4 0 0.5949 0.9423 -0.7823 0.4846 -0.0851 0.0477 0.647 -0.0455 -0.3971 1.0346 0 240 240 180 512.389 552.974 457.57 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"5" 72400001 0 1 0 5 1 1.8905 -0.7577 0.1462 0.1029 -0.1635 0.0477 0.1635 0.7002 -0.9734 -1.0691 0 240 240 180 390.033 414.428 330.707 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"8" 72400001 0 1 0 6 0 0.4637 0.0821 -0.7823 -0.0196 -0.8795 0.031 0.4189 0.652 0.039 1.0346 0 200 200 300 578.656 625.061 642.681 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"10" 72400001 0 2 0 6 0 -0.4342 -0.5635 0.1462 0.4967 0.0739 -0.1357 0.7249 1.0677 0.6259 1.0346 0 200 200 0 489.76 546.725 447.526 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"11" 72400001 0 1 0 6 0 -0.3498 -0.9771 -0.7823 0.4794 1.0094 -0.1357 0.0314 0.5935 -0.2441 -0.6576 2 240 240 180 514.871 592.496 507.008 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"13" 72400001 0 1 0 6 0 0.0208 0.4766 -0.7823 0.0836 0.5859 -0.6122 -0.5061 0.886 1.314 1.0346 0 200 200 200 410.947 489.204 485.929 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"14" 72400001 0 1 0 5 0 0.1097 2.7249 -0.7823 -0.2128 0.2916 -0.6853 -0.4051 0.2478 -0.0037 0.2127 0 240 240 300 530.447 556.884 615.519 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"16" 72400001 0 2 0 4 1 -1.8939 0.6713 0.2907 -0.3765 0.1817 -0.4884 -0.4704 -1.0192 1.314 -0.6576 0 220 275 165 403.656 507.061 482.383 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"18" 72400001 0 1 0 6 0 0.4637 -0.2482 -0.7823 0.0834 -0.496 1.1793 0.3772 0.7468 -0.2023 1.0346 0 200 200 150 562.787 599.796 571.085 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"20" 72400001 1 1 0 6 0 1.0671 2.7249 -0.7823 0.1594 -1.7521 -0.6853 2.2159 0.9181 0.1274 -1.1847 1 200 200 150 477.578 375.354 420.237 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"25" 72400001 1 1 0 6 0 0.855 2.7249 -0.7823 0.862 1.0094 -0.1357 0.4767 0.8029 1.314 1.0346 0 240 240 180 453.733 480.799 551.374 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"27" 72400001 0 1 0 4 0 1.1422 1.4685 -0.7823 0.9277 1.0094 -0.1357 0.5305 -0.3052 0.1924 1.0346 0 220 220 330 589.532 619.072 581.413 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
