"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav"
"29" 82600001 0 2 2 6 0 -0.687 -0.6659 -0.7823 1.052 0.7725 0.7604 0.4645 0.7521 1.314 1.0346 0 165 165 220 310.346 320.935 302.523 23 15.8053 0.265 -0.3163 -0.0384 0.5642
"35" 82600003 0 1 0 3 0 0.8794 -0.8223 1.4721 1.3109 0.0782 1.1793 2.4593 0.2472 0.1694 -1.1847 0 240 240 300 586.005 576.519 626.468 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"43" 82600003 0 1 0 6 0 0.4637 -0.8575 0.7703 3.0772 1.8498 1.1793 2.3046 1.8923 -0.5973 0.6402 0 240 300 540 584.873 519.071 616.553 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"44" 82600003 1 1 0 6 0 -1.8939 0.9517 -0.7823 1.1115 1.8498 -0.8243 0.6999 1.2299 1.314 1.0346 1 360 360 540 583.741 607.558 561.75 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"45" 82600003 1 1 0 6 0 0.052 0.0589 0.2907 0.6308 -0.7486 1.1793 0.8787 1.0498 1.314 1.0346 1 240 240 420 590.414 596.325 605.84 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"48" 82600003 1 1 0 5 0 -0.7592 -0.4415 0.7703 0.0362 -0.3833 -0.4396 0.5241 0.3669 -0.9828 0.005 0 300 300 300 429.981 462.751 418.722 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"49" 82600003 0 1 0 3 0 0.8207 -0.6659 -0.7823 -0.2767 -1.8434 -0.8243 0.7072 -1.0044 -1.1965 -0.6576 0 300 300 300 357.175 320.818 376.316 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"50" 82600003 0 1 0 4 0 -0.3799 -0.4425 1.5346 0.0817 0.1408 -0.6853 0.2872 -0.6689 -0.3971 1.0346 0 240 300 300 404.365 401.145 321.789 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"52" 82600003 1 1 0 6 0 0.8794 1.4903 -0.7823 0.6242 -1.3625 1.1793 1.5119 1.1857 -0.3971 -1.3939 1 240 240 420 496.992 470.278 500.299 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"60" 82600003 0 1 0 6 0 0.3335 -0.3184 0.2308 1.3141 1.1114 -0.4396 1.1188 0.912 -1.1481 0.5029 0 240 240 480 401.964 368.014 486.755 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"61" 82600003 0 1 0 4 0 -0.2006 0.3018 -0.7823 0.6325 -0.9827 0.0477 1.1713 -0.4796 -1.3345 0.5029 0 240 240 540 490.304 514.035 501.214 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"62" 82600003 1 1 0 6 0 0.4637 0.3018 0.8233 2.2961 0.7725 1.1793 2.8142 1.6632 -0.7857 0.2169 0 300 300 480 630.062 619.805 634.455 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"99" 82600007 0 1 0 4 0 1.8905 -0.4509 -0.7823 0.124 -0.1662 -0.5813 0.469 0.223 -0.6661 1.0346 0 200 250 450 595.269 588.521 587.495 28 16.0923 0.1 1.4395 0.735 1.8947
"100" 82600007 1 1 0 3 0 0.8794 -0.8575 1.5082 -0.2839 -0.9827 0.0477 0.435 -0.0699 0.7628 0.6364 0 200 250 300 550.426 546.498 552.492 28 16.0923 0.1 1.4395 0.735 1.8947
"101" 82600007 0 1 0 4 0 -0.687 0.6818 -0.7823 -1.2063 -1.8434 0.7604 -0.916 -1.214 0.7015 -1.5824 1 200 250 300 499.98 539.434 552.226 28 16.0923 0.1 1.4395 0.735 1.8947
"103" 82600007 1 1 0 5 0 0.4637 0.6818 0.2907 0.4374 0.7725 0.0477 0.1986 -0.0114 0.2148 -0.6576 0 200 250 300 458.547 478.153 425.273 28 16.0923 0.1 1.4395 0.735 1.8947
"104" 82600007 1 1 2 6 0 -0.4342 0.3622 1.8279 2.1182 0.7725 1.1793 2.8142 1.6079 -1.3345 1.0346 0 200 250 300 572.848 555.314 555.341 28 16.0923 0.1 1.4395 0.735 1.8947
"105" 82600007 1 1 0 3 0 -0.2006 0.6818 -0.7823 -0.6576 -0.7397 0.2646 -0.6795 -1.2565 0.4394 1.0346 0 200 250 450 592.528 535.891 585.995 28 16.0923 0.1 1.4395 0.735 1.8947
"106" 82600007 0 1 0 3 0 -0.0288 0.3241 -0.7823 0.5761 -0.9827 0.0477 1.9498 -0.0637 0.6259 0.2169 0 200 250 450 503.43 505.918 458.536 28 16.0923 0.1 1.4395 0.735 1.8947
"107" 82600007 1 1 0 6 0 -0.1748 1.4903 0.2907 1.1086 1.8498 1.1793 0.3082 1.2577 0.1274 1.0346 1 200 250 450 781.181 627.353 698.482 28 16.0923 0.1 1.4395 0.735 1.8947
"108" 82600007 0 1 0 4 0 1.4083 0.3241 -0.7823 1.4283 0.363 1.1793 1.0103 0.7378 1.314 0.5029 0 240 300 540 488.902 500.44 519.758 28 16.0923 0.1 1.4395 0.735 1.8947
"109" 82600007 1 1 0 6 0 0.052 -0.3789 1.1928 0.8551 0.0019 -0.1357 0.6175 1.2125 -1.8485 0.3622 0 200 250 450 686.138 630.511 683.032 28 16.0923 0.1 1.4395 0.735 1.8947
"110" 82600007 0 1 0 5 0 1.4083 -0.6843 0.2907 1.6255 1.1114 1.1793 1.2374 0.8233 1.314 0.2127 1 200 250 300 368.869 346.978 424.785 28 16.0923 0.1 1.4395 0.735 1.8947
"111" 82600007 1 3 0 6 0 -0.2006 0.0348 0.2907 -0.0563 0.7725 1.1793 -0.5058 0.6365 0.4394 0.2169 1 200 250 300 486.446 461.187 585.885 28 16.0923 0.1 1.4395 0.735 1.8947
"112" 82600007 0 1 0 6 0 0.8207 -0.3184 0.1462 1.52 0.0283 0.0477 1.346 1.5648 0.7015 0.2169 0 200 250 450 606.76 753.924 713.916 28 16.0923 0.1 1.4395 0.735 1.8947
"113" 82600007 1 1 0 3 0 -0.687 -0.4509 0.1462 -0.3751 -1.8434 -0.6853 0.2364 -0.4932 -0.2023 -1.1847 0 200 250 450 560.391 475.761 539.023 28 16.0923 0.1 1.4395 0.735 1.8947
"114" 82600007 0 1 0 5 0 -0.687 -0.5957 -0.7823 -0.8676 -0.3902 -1.5094 -0.5078 -0.8817 1.314 -2.4468 0 220 275 495 441.468 383.798 460.278 28 16.0923 0.1 1.4395 0.735 1.8947
"115" 82600007 1 1 0 6 0 0.4637 -0.7921 1.5082 1.3263 -0.6184 0.0477 1.9498 1.019 0.2148 1.0346 0 250 250 450 586.136 521.459 644.933 28 16.0923 0.1 1.4395 0.735 1.8947
