"school_id";"gender";"immigration";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"school_changes";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav";"teach_multicult"
38000002;1;1;0;2;0;-0.687;0.3241;-0.7823;-1.6253;-1.8379;-1.0118;-1.5599;-2.1348;-0.5197;-1.1847;0;240;300;120;311.935;225.37;268.47;18;6.6281;0.3066;-0.7828;0.1705;-0.5079;0.9042
38000002;0;1;0;2;1;-1.8939;0.3241;1.7145;-1.0406;-0.4042;-0.1614;-0.8499;-1.717;0.7015;0.2127;0;300;540;120;344.323;287.481;301.255;18;6.6281;0.3066;-0.7828;0.1705;-0.5079;0.9042
38000003;1;1;0;4;0;-0.687;0.6818;-0.7823;0.8599;0.6392;1.1793;0.3585;0.0337;0.7015;0.2127;0;300;240;120;641.986;597.354;623.85;23;11.2584;-0.056;0.0055;-0.6584;0.83;0.9042
38000004;0;1;0;4;0;-0.9295;0.6818;-0.7823;0.1467;0.5763;1.1793;-0.2841;-0.8123;-0.4671;1.0346;0;165;275;110;421.018;505.006;431.784;28;12.7086;-1.4212;1.0953;-0.5635;0.3593;-0.2798
38000004;0;1;0;6;0;0.1097;-0.1797;0.1462;0.6101;0.8419;1.1793;0.2263;0.9993;-0.2023;1.0346;0;300;240;120;586.965;615.946;484.05;28;12.7086;-1.4212;1.0953;-0.5635;0.3593;-0.2798
38000004;0;1;0;4;0;0.7405;-1.2487;1.1211;-0.8466;0.6842;-1.0527;-1.0826;-0.5955;1.314;0.2127;1;420;240;120;549.488;611.953;605.058;28;12.7086;-1.4212;1.0953;-0.5635;0.3593;-0.2798
38000004;0;1;0;4;0;1.0944;-0.5582;-0.7823;-0.2034;-1.8379;0.1806;0.452;-0.309;-1.6385;0.6402;0;150;200;100;485.308;590.533;493.266;28;12.7086;-1.4212;1.0953;-0.5635;0.3593;-0.2798
38000004;1;1;0;6;0;-1.4242;0.9517;-0.7823;0.7483;1.4675;-0.1357;-0.0942;1.0556;0.7628;1.0346;1;300;240;120;548.599;517.364;516.615;28;12.7086;-1.4212;1.0953;-0.5635;0.3593;-0.2798
38000004;1;1;0;6;0;1.8905;1.4685;-0.7823;1.6322;0.6392;-0.4903;1.6077;1.6778;1.314;1.0346;0;240;240;180;673.099;623.07;649.525;28;12.7086;-1.4212;1.0953;-0.5635;0.3593;-0.2798
38000004;1;1;0;4;0;-1.4242;-0.1843;-0.7823;-0.1985;-0.2596;1.1793;0.1626;-0.8968;-0.3673;1.0346;0;180;300;120;566.523;548.849;539.82;28;12.7086;-1.4212;1.0953;-0.5635;0.3593;-0.2798
38000005;0;1;0;6;0;-1.8939;-0.3184;-0.7823;0.7762;0.166;1.1793;0.7976;1.0305;-0.7366;-0.6576;0;300;240;180;454.686;432.526;395.245;18;7.0882;0.1;-0.5869;-0.8207;-2.0409;-1.0542
38000005;1;1;0;6;0;-1.8939;-0.5635;-0.7823;0.2734;0.3898;-0.1357;0.1403;0.4715;0.2148;-1.6759;0;300;240;120;635.863;586.747;629.873;18;7.0882;0.1;-0.5869;-0.8207;-2.0409;-1.0542
38000005;0;1;0;4;0;0.052;-0.6074;1.203;-0.4936;-0.1044;0.031;-0.6193;-1.122;1.314;-1.5847;0;180;240;120;318.96;380.101;352.645;18;7.0882;0.1;-0.5869;-0.8207;-2.0409;-1.0542
38000006;1;1;0;2;0;-0.4342;-0.3184;-0.7823;1.1182;-0.0367;1.1793;2.4997;-0.5702;-0.8065;-0.6576;0;220;220;110;575.298;513.842;511.922;23;7.9121;0.1;-0.5869;-0.5417;-0.1274;-1.0542
38000006;1;1;0;4;0;0.4637;-0.5878;0.1462;0.5965;0.6842;-0.6122;0.5472;0.4229;-0.0037;1.0346;0;240;300;120;601.279;634.951;617.024;23;7.9121;0.1;-0.5869;-0.5417;-0.1274;-1.0542
38000006;1;1;0;4;0;-0.687;0.6818;-0.7823;-0.3489;-0.5948;1.1793;0.0972;-0.1911;0.7628;-0.6576;0;330;165;165;539.331;491.925;550.709;23;7.9121;0.1;-0.5869;-0.5417;-0.1274;-1.0542
38000006;1;1;0;4;0;-1.8939;-0.1562;-0.7823;-0.3785;-0.5948;1.1793;-0.2965;-0.6211;-0.2023;1.0346;0;220;220;110;618.345;586.618;599.744;23;7.9121;0.1;-0.5869;-0.5417;-0.1274;-1.0542
