"id" "region" "type_city" "type_school" "fund1" "fund2" "fund3" "fund4" "info1" "info2" "info3" "requirement1" "requirement2" "valuation1" "valuation2" "exchange" "culture" "intercultural_experiences" "foreign_languages" "gender1" "gender2" "soc_eco_disadvantage" "num_grade" "computer_stud" "connection" "portable" "whiteboards" "projectors" "computer_teac" "teach_f1" "teach_p1" "teach_f2" "teach_p2" "teach_f3" "teach_p3" "teach_f4" "teach_p4" "teach_f5" "teach_p5" "class" "left" "language_lessons" "help1" "help2" "help3"
"1" 38000001 "Italy" "city" 0 45 42 6 7 "agree" "disagree" "agree" "sometimes" "always" "school initiative" "no" 1 1 0 1 305 1085 0 297 58 58 19 58 58 19 112 8 112 8 112 8 NA NA 4 4 "26-30 students" NA 1 NA 1 1
"2" 38000002 "Italy" "large city" 0 16 14 0 70 "disagree" "agree" "agree" "never" "always" "mandatory" "mandatory" 1 1 1 1 881 607 75 317 50 50 10 25 1 1 220 9 220 9 0 0 211 9 0 0 "16-20 students" 1 1 0 0 1
"3" 38000003 "Italy" "large city" 0 38 5 0 57 "agree" "disagree" "disagree" "sometimes" "sometimes" "school initiative" "mandatory" 1 0 1 1 709 1143 0 357 60 60 0 40 50 90 163 3 137 3 0 0 163 3 0 0 "21-25 students" 0 1 0 0 0
"4" 38000004 "Italy" "town" 0 22 55 0 23 "strongly agree" "disagree" "agree" "never" "always" "mandatory" "mandatory" 1 1 1 1 403 709 10 256 90 90 15 48 50 10 81 13 81 13 0 0 77 12 4 1 "26-30 students" 0 1 0 0 0
"5" 38000005 "Sardegna" "small town" 0 76 23 0 1 "agree" "agree" "disagree" "sometimes" "sometimes" "school initiative" "mandatory" 1 1 0 1 298 425 0 155 80 80 0 43 45 15 90 24 9 15 2 6 88 18 0 0 "16-20 students" 0 0 0 0 0
"6" 38000006 "Toscana" "town" 0 35 50 0 15 "agree" "agree" "agree" "always" "sometimes" "school initiative" "no" 0 1 1 1 1500 300 5 400 70 70 10 10 13 12 220 15 150 2 120 13 5 0 1 0 "21-25 students" NA 1 0 1 1
"7" 38000007 "Italy" "small town" 0 24 63 0 13 "strongly agree" "agree" "agree" "always" "always" "school initiative" "school initiative" 1 1 0 1 627 792 NA 278 100 100 0 60 60 25 152 34 131 20 0 0 143 14 3 NA "26-30 students" 0 1 1 1 1
"8" 38000008 "Sardegna" "town" 0 65 18 5 12 "agree" "agree" "agree" "always" "always" "mandatory" "mandatory" 1 1 1 1 547 196 11 154 100 100 15 50 50 4 123 4 123 4 123 4 50 0 10 0 "16-20 students" 2 1 1 0 0
"9" 38000009 "Sardegna" "city" 0 70 20 0 10 "agree" "disagree" "disagree" "never" "never" "school initiative" "mandatory" 0 0 0 0 503 471 50 200 11 11 7 35 8 4 183 15 121 15 0 0 149 15 5 1 "16-20 students" 1 0 0 0 0
"10" 38000010 "Trento" "village" 1 100 NA NA NA "strongly agree" "agree" "agree" "never" "sometimes" "school initiative" "no" 0 0 0 1 61 43 0 36 20 20 0 1 3 5 12 8 0 0 0 0 5 0 0 0 "15 students or fewer" 4 0 0 0 0
