"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie"
"1" 5600011 0 1 322 6 0 1.2316 -1.272 1.1811 -1.8939 2.3693 -0.2979 -0.7823 0.5732 1.0629 1.1793 -0.5768 1.0324 -0.2871 0.6402 0 300 200 250 637.743 694.995 644.7
"2" 5600179 1 1 493 5 0 -1.9715 0.2705 2.0054 NA NA 0.2047 -0.7823 0.8671 0.1297 1.1793 0.9047 0.7048 -0.3971 NA 0 250 250 250 576.78 498.138 580.901
"3" 5600092 1 1 621 6 0 -0.7215 0.2705 0.1956 -0.3799 -0.0614 -0.4415 -0.7823 0.3152 -0.0809 -0.1357 0.27 0.3202 1.314 -0.6576 2 150 200 300 502.572 486.057 524.375
"4" 5600296 1 1 322 3 0 -0.5792 -1.272 -0.5707 -0.2459 -1.5286 -0.6688 1.4812 -0.8316 -1.8696 -1.5603 0.1479 -1.2974 -2.7106 -0.9167 NA 315 180 360 439.499 434.162 416.168
"5" 5600273 1 1 322 6 0 0.7942 -1.272 0.1956 0.4637 1.1497 -0.2649 0.2907 1.6963 1.8415 1.1793 0.8419 1.6965 1.314 1.0346 NA 250 200 350 616.205 598.437 622.058
"6" 5600075 1 1 493 5 1 0.0977 -1.272 NA NA NA -0.7087 0.8233 1.38 1.0147 1.1793 0.9298 0.5511 0.2384 -0.6439 0 200 200 100 576.2 523.193 594.654
"7" 5600213 0 1 493 6 0 -0.3914 0.2705 -1.7009 NA NA -1.0786 2.0604 1.3469 1.0147 1.1793 1.0371 1.2615 -0.0037 1.0346 2 200 200 150 582.011 587.83 572.494
"8" 5600236 0 1 322 4 0 0.0127 0.7192 -0.733 0.4637 -0.8109 -0.2979 -0.7823 0.1486 0.0181 0.0477 0.2605 -0.5857 -0.1512 1.0346 0 200 200 250 640.302 649.33 579.438
"9" 5600198 0 1 493 6 0 1.0781 -1.272 0.1956 NA NA -0.2641 -0.7823 1.8374 1.7695 1.1793 1.075 1.4703 -0.2023 1.0346 0 400 250 150 722.56 706.155 631.742
"10" 5600156 0 1 322 6 0 0.3703 1.6524 1.2643 0.8794 -0.096 0.6818 -0.7823 0.4279 0.4713 1.1793 0.1383 0.9928 -2.7106 0.2169 1 250 200 100 498.627 515.558 498.619
"11" 5600251 1 3 493 4 1 -0.0679 0.2705 2.0054 NA NA 0.6805 1.5699 0.4264 0.289 1.1793 0.4627 -0.0425 -0.9734 0.2169 2 250 250 250 441.569 423.767 517.434
"12" 5600248 0 1 230 4 1 -0.3875 0.8232 0.3709 NA NA -0.2002 2.0987 0.3476 0.289 -0.1357 0.3157 -0.4695 -0.6176 0.2169 1 220 330 110 390.53 382.415 443.592
"13" 5600178 1 1 322 6 1 -0.6896 0.2705 -1.3427 -0.3009 -0.4004 -1.126 1.2618 0.2956 -0.0455 -0.8243 0.9654 0.1972 0.1694 -1.1847 2 300 300 0 416.181 374.481 369.532
"14" 5600194 0 1 322 6 0 -1.9715 0.2705 -0.5707 -0.3799 -0.5737 NA NA -0.3216 -1.2782 0.2646 0.0118 0.5097 -1.5103 NA 0 NA NA NA 574.157 566.603 588.333
"15" 5600001 0 1 322 4 1 0.5006 0.9166 0.411 1.3423 -0.7095 -0.2188 -0.7823 -0.1243 -0.4961 -1.0118 0.4729 -0.517 0.0483 0.005 NA 100 100 0 391.63 303.378 366.977
"16" 5600157 1 1 493 5 1 -0.0721 -1.272 -1.1309 NA NA 0.3152 1.1625 1.1985 0.6372 -0.1357 1.1292 0.1737 0.385 -1.1847 1 250 250 150 588.646 536.893 527.623
"17" 5600293 0 1 322 5 0 2.6131 -1.272 1.2643 1.8905 -0.8579 -0.1136 0.1462 -0.1271 -0.1552 1.1793 -0.2031 0.366 1.314 1.0346 0 250 200 550 544.729 511.787 588.498
"18" 5600117 0 1 493 5 1 -0.1542 0.8232 -0.9792 NA NA 0.5698 -0.7823 -0.1621 -0.7134 -0.2116 0.0521 0.1289 -0.7562 1.0346 0 200 250 150 427.362 462.487 433.629
"19" 5600082 0 1 322 6 0 0.9011 0.7192 0.3709 -1.2319 -1.321 -0.7764 -0.7823 1.1458 0.7386 1.1793 1.2291 1.2936 0.2148 0.3622 1 200 250 150 592.2 572.4 482.368
"20" 5600157 0 1 493 6 0 2.6131 -1.272 0.7871 NA NA -0.7782 0.7703 1.5204 1.7695 1.1793 0.6011 1.5447 -0.3673 -1.1847 1 250 250 150 638.29 602.167 600.59
