"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie"
"1" 27600143 0 1 148 4 0 2.6131 -1.272 -0.8705 -0.3799 0.3858 0.0928 -0.7823 -1.6474 -0.1094 -1.3835 -1.9715 -0.8215 0.7015 0.5029 0 135 135 315 584.978 560.331 591.108
"2" 27600107 1 1 148 6 0 -2.7114 -1.272 1.2643 -1.109 0.7877 1.4903 0.2907 0.1746 -1.3021 1.1793 0.767 -0.0321 -0.3262 -0.6576 0 135 135 405 487.714 455.599 493.185
"3" 27600091 1 1 148 6 0 0.4956 -1.272 -0.5229 -1.1858 -1.075 -0.6287 NA -0.8185 -0.2432 -0.6805 -1.402 0.0094 -2.7106 NA 0 NA NA NA 430.773 440.327 429.405
"4" 27600185 0 1 148 NA 0 -0.7077 -1.272 -0.2047 0.052 -0.0328 -0.9331 1.1625 -0.5946 -0.6111 -0.9779 -0.3232 -1.3716 -0.3262 1.0346 0 225 270 0 466.444 424.382 418.348
"5" 27600059 1 1 148 4 0 0.7546 -1.272 -0.9372 -0.2459 -0.0806 1.4326 NA 0.8129 0.4924 -0.5668 1.0227 0.4585 -0.9112 NA 0 NA NA NA 727.025 584.637 708.073
"6" 27600212 1 1 148 6 0 1.0781 -1.272 -0.733 0.052 0.4842 -0.8548 NA 0.3961 0.0364 1.1793 -0.2026 1.0335 1.314 NA 1 NA NA NA 611.643 616.413 604.043
"7" 27600137 1 2 148 0 1 -1.1798 -0.2888 -0.9792 -0.687 -0.5176 0.3241 0.7703 -0.6164 -0.1506 0.0477 -0.8656 -2.007 -0.5488 -1.7696 2 195 195 65 402.179 416.868 451.58
"8" 27600145 0 1 148 6 1 -0.172 -0.6346 0.849 1.8905 -0.8109 -0.1562 NA 1.0112 0.8761 -0.1357 0.6295 1.0179 -0.5973 NA 1 NA NA NA 636.613 562.271 622.554
"9" 27600008 0 2 148 0 1 -0.007 1.6524 -0.2661 -0.2006 -1.2921 0.6818 -0.7823 -0.7871 -0.1314 0.0477 -0.9036 -2.4466 0.7628 -0.6576 1 225 180 180 313.638 430.755 368.19
"10" 27600086 1 1 148 5 0 1.1891 -1.272 -0.9792 -0.2006 -0.5325 -0.9306 -0.7823 1.8071 0.6471 1.1793 1.6369 1.0493 -0.9734 -1.0657 0 180 180 180 438.774 436.22 429.208
