"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie"
"1" 20800030 1 1 264 6 0 -1.1031 -1.272 -1.7664 -1.8939 -0.0614 0.4846 -0.7823 0.9335 0.5698 1.1793 0.3945 1.2171 -0.5973 -0.6576 0 NA 300 180 487.239 473.621 437.593
"2" 20800214 0 1 264 6 0 -0.8176 -0.2888 -0.2047 0.4637 -0.0614 0.2243 0.2907 -0.2825 -1.8222 0.1806 0.9301 0.7703 0.1597 1.0346 0 225 405 225 600.73 610.928 560.663
"3" 20800238 1 1 264 6 0 NA NA NA NA NA NA NA 2.8077 1.2462 1.1793 3.858 0.8635 1.314 NA 2 NA NA NA 298.615 265.96 309.686
"4" 20800154 0 2 264 5 0 -0.9395 -1.272 1.1811 -1.8939 1.5527 2.7249 -0.7823 0.2387 -0.2917 0.0477 1.378 -0.1269 -0.8266 1.0346 0 225 315 270 505.772 494.619 510.844
"5" 20800332 0 1 264 6 0 -0.2388 0.2705 -0.6888 -0.13 -0.0614 0.6818 -0.7823 1.4937 1.1322 1.1793 1.6469 0.9647 -0.3762 -0.6576 0 225 360 180 512.467 516.746 541.87
"6" 20800068 0 2 500 6 0 -0.5831 -0.2888 0.1956 0.052 -0.8109 -0.4312 -0.7823 -0.015 -0.5184 1.1793 0.3476 0.8643 -0.1605 -0.6576 0 225 405 225 484.488 526.275 554.205
"7" 20800322 0 2 264 6 0 0.1667 0.5206 0.1956 -0.2459 0.8092 -0.3184 0.1462 -0.4764 -0.4805 -0.8532 0.1675 0.7006 1.314 -0.6576 0 225 315 225 373.672 388.507 379.106
"8" 20800150 0 1 264 6 0 2.6131 -0.2888 0.6314 1.1911 -0.096 -0.9165 0.7703 -0.2542 -0.7352 1.1793 0.2253 0.7011 -0.3673 0.2169 0 360 360 240 516.812 621.588 533.368
"9" 20800112 1 1 264 6 0 0.4627 -0.2888 1.1811 0.052 1.6219 -0.3184 -0.7823 0.6806 0.5698 1.1793 0.5009 0.6438 1.314 1.0346 1 315 360 180 637.839 605.248 625.573
"10" 20800165 1 1 264 5 0 -2.7114 0.2705 1.2643 -0.687 -0.0614 0.3241 -0.7823 1.6142 1.2462 1.1793 1.5631 1.2544 1.314 1.0346 0 330 165 110 546.59 496.792 551.748
"11" 20800179 1 NA 999 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 532.897 507.896 495.458
"12" 20800344 0 1 264 6 0 0.638 0.2705 -0.4631 NA NA NA NA 0.6847 0.0279 1.1793 1.3246 1.0985 0.1694 NA 1 NA NA NA 475.662 505.232 504.629
"13" 20800127 1 1 264 4 0 -0.9016 0.2705 -0.2661 -0.687 -0.0614 0.6818 -0.7823 0.0181 -1.2045 -0.4903 1.2892 -0.0358 -0.2023 0.2169 2 180 270 180 453.148 361.279 381.031
"14" 20800209 1 1 264 5 0 -1.4882 0.2705 -0.9792 0.4637 -0.0614 -0.5707 -0.7823 0.0587 -0.6853 0.031 1.3851 -0.452 -0.3673 -0.6576 0 180 270 225 402.502 332.021 252.977
"15" 20800018 0 1 264 6 0 0.0127 -1.272 -0.2047 0.4637 -0.5176 0.2929 -0.7823 -0.6084 -0.7352 -0.4396 0.2772 0.3883 -0.3971 -0.6576 NA 225 315 225 504.212 524.763 438.386
"16" 20800028 0 1 264 6 0 -1.4526 -1.272 -0.2661 0.052 0.4558 0.1837 0.2907 0.4868 0.8489 1.1793 0.3616 0.101 1.314 0.6402 1 180 270 150 496.662 565.145 536.622
"17" 20800302 1 1 264 6 0 -1.9715 0.2705 0.1956 -0.4342 -0.0614 -0.3184 -0.7823 -0.2998 -1.2045 -0.8243 1.1523 0.3656 -0.5973 -0.6576 0 225 315 180 500.479 534.591 476.407
