"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie"
"1" 44200025 1 3 232 2 0 0.1372 0.2705 -0.9792 NA NA NA 1.1625 -0.0397 -1.1503 -0.8937 1.0978 -1.1143 -0.9734 NA NA NA NA 365.946 307.624 381.295
"2" 44200019 1 1 507 6 0 0.9011 -1.272 -0.5707 -0.4342 1.1268 -0.3389 1.4721 1.9961 1.5766 1.1793 1.2285 1.2446 -0.7074 -0.6576 200 200 200 609.333 663.079 660.48
"3" 44200034 0 1 493 4 0 1.7513 -1.272 -0.9792 -1.4242 -0.0806 0.3332 0.2907 0.4272 0.2763 1.1793 -0.0867 0.2263 0.7628 1.0346 200 200 100 476.055 584.844 527.15
"4" 44200046 0 1 507 6 0 1.7513 0.9567 0.571 1.8905 -0.4679 -0.0358 -0.7823 0.257 0.6676 -0.1357 -0.3328 1.011 -1.1965 1.0346 200 150 50 519.04 580.341 574.371
"5" 44200017 0 1 507 6 0 -1.9715 0.2705 -0.9792 0.8794 0.1494 -0.6693 0.6725 0.3976 0.4196 0.6763 0.3045 0.977 0.481 0.0181 100 200 600 435.595 386.682 366.734
"6" 44200011 0 1 507 5 0 -1.7421 0.2705 -0.6888 -0.4342 -0.5176 -0.3184 -0.7823 0.26 0.3776 1.1793 0.1555 0.5641 -0.5575 1.0346 110 165 495 458.921 474.082 446.999
"7" 44200025 1 2 834 4 0 -0.1585 2.0692 -0.8279 -1.2319 -1.0884 -1.0645 -0.7823 -0.9875 -0.126 -2.4101 0.0832 -2.3458 -1.6031 -1.3939 NA NA NA 353.244 357.108 393.781
"8" 44200016 0 1 507 5 0 -0.3571 0.2705 0.2653 0.4637 -0.0614 1.4903 -0.7823 0.0863 -0.438 -0.9165 0.8403 0.2989 -1.2781 -0.6576 200 150 100 451.848 394.815 437.927
"9" 44200015 1 3 493 6 0 0.3568 0.2705 -1.2708 -1.8939 0.4558 0.0637 -0.7823 0.7548 1.4029 -0.6853 0.1636 1.2125 -0.2023 0.2127 110 165 165 500.706 484.844 492.821
"10" 44200015 1 3 493 6 1 -1.7421 -1.272 0.4978 1.8905 2.3693 0.5082 0.7703 -0.5135 0.0614 -0.5813 -0.6935 0.4942 -1.0282 1.0346 NA NA NA 326.772 481.481 424.511
"11" 44200036 0 1 507 6 0 0.2694 -1.272 -0.5229 1.8905 -1.321 -0.6705 -0.7823 1.3084 0.6793 1.1793 1.021 1.3095 -1.5794 0.0181 200 250 200 571.893 544.743 495.274
"12" 44200014 0 1 507 5 0 0.8628 -1.272 -0.9792 -0.0845 -0.7617 1.4903 -0.7823 0.5536 0.9816 0.0477 0.0223 0.2014 1.314 -1.0691 NA NA NA 574.33 559.926 537.341
"13" 44200045 0 1 507 6 0 0.0293 -0.2888 -0.5707 1.3423 0.8496 1.4326 -0.7823 1.0749 1.5766 1.1793 0.1393 1.4419 0.2485 0.5029 200 200 200 513.032 565.489 566.614
"14" 44200024 1 3 232 2 0 -0.9016 -1.272 -0.733 -0.687 -0.0614 0.3241 -0.7823 0.4772 -0.1623 -0.1357 1.4307 -1.0617 0.7015 -0.6576 150 0 0 577.323 460.658 519.449
"15" 44200012 0 3 313 6 0 2.6131 -1.272 0.6314 1.8905 2.3693 -0.8444 -0.7823 2.7208 1.5766 1.1793 1.5817 2.155 -0.2023 0.6402 240 240 300 622.851 677.959 644.103
"16" 44200038 0 2 493 5 0 1.6649 0.2705 0.1956 -0.3799 0.3693 -0.0633 0.8615 0.3628 0.803 0.0477 -0.3249 0.7637 0.7015 -1.3914 250 150 350 591.779 591.619 605.822
"17" 44200036 1 1 507 6 0 1.7513 -1.272 1.2643 -0.7592 2.3693 0.9517 0.2907 0.8877 0.3024 1.1793 0.483 1.1655 0.7628 1.0346 220 330 110 648.666 596.207 628.727
"18" 44200011 0 1 507 5 0 -0.8176 -0.2888 -0.2661 -0.687 -1.0812 0.3018 -0.7823 0.3265 0.0831 1.1793 0.0777 0.1053 -1.7418 0.6402 200 200 200 508.019 388.394 448.423
"19" 44200012 1 2 200 6 0 1.2316 -1.272 0.3709 0.5949 -0.8109 -0.3184 NA 2.4274 1.5766 1.1793 1.5666 1.9204 0.1694 1.0346 165 165 220 684.978 743.592 655.892
"20" 44200030 0 2 493 4 0 0.2694 0.2705 -0.9792 -0.4342 -0.5176 -0.5635 NA 0.3421 0.0245 1.1793 -0.2349 0.3741 -0.3971 0.2169 NA NA NA 493.145 512.635 534.746
"21" 44200023 0 1 507 4 0 -1.1285 0.2705 -1.5513 -1.4869 1.6219 0.4999 0.2907 0.2127 -0.1623 1.1793 0.5947 -0.2402 1.314 -0.6576 250 150 300 501.909 511.679 511.283
"22" 44200036 0 2 148 6 0 0.1298 -0.2888 -0.5707 -1.2319 1.6219 0.6879 -0.7823 1.0792 1.4029 1.1793 0.1514 1.2466 0.3485 1.0346 200 200 200 582.903 627.318 610.15
"23" 44200008 0 2 493 5 0 -0.6362 0.2705 -0.4112 -1.8939 0.7512 0.1935 -0.7823 0.0333 -1.1503 -0.1357 0.4794 0.3678 -1.555 -1.0657 200 250 150 562.5 522.328 577.597
