"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie"
"1" 75200020 1 1 494 4 0 -0.2704 -0.8863 -0.9792 -1.8939 -0.0614 -0.5635 -0.7823 0.6226 0.6472 1.1793 0.4032 -0.2009 -0.2023 0.2169 180 135 135 516.3 528.876 531.091
"2" 75200121 0 1 494 NA 0 -0.7983 0.2705 -1.2263 1.4083 -1.2984 -0.0358 0.7703 1.3235 1.3363 1.1793 0.8229 0.9269 0.7015 -0.6576 180 180 180 461.88 606.282 531.81
"3" 75200129 0 2 494 5 0 0.5452 0.2705 -0.8705 0.5949 -1.3068 -1.2608 -0.7823 -0.5258 -0.7441 -0.9302 0.1334 -1.0139 -0.2023 -1.3914 180 180 180 475.076 627.558 567.264
"4" 75200160 0 1 494 4 0 0.0631 0.2705 -0.8705 -0.687 -0.0614 0.3018 -0.7823 -0.5503 -1.8427 -0.4396 -0.0517 -0.8495 0.039 1.0346 165 165 110 534.104 452.871 497.118
"5" 75200060 0 1 494 6 0 0.2694 0.2705 -0.2661 -0.2006 -0.4909 0.9683 -0.7823 -0.4405 0.0528 1.1793 -1.0249 0.7231 -0.2023 -0.6576 150 150 150 566.435 640.46 591.204
"6" 75200095 0 1 494 6 0 1.7513 -1.272 -1.7664 -0.9823 0.7396 0.6818 -0.7823 0.8063 0.4551 0.0477 0.4221 0.1862 1.314 1.0346 180 120 120 590.525 633.223 594.134
"7" 75200177 1 1 494 6 0 -0.5127 0.2705 1.2643 -0.2006 NA NA NA 1.1314 1.3363 -0.5482 0.5309 1.2875 -0.2023 NA NA NA NA 449.651 475.085 448.963
"8" 75200014 0 1 494 5 0 1.4205 0.2705 -1.7664 1.1422 -0.8494 0.3581 NA 0.873 0.8508 -0.1357 0.4485 0.9028 0.385 1.0346 NA NA NA 707.349 646.122 648.235
"9" 75200030 1 NA 664 6 0 -0.1119 0.2705 -0.6888 -0.4678 -0.4362 -0.6789 2.1088 0.8292 0.0528 1.1793 0.9694 0.943 -0.8998 -0.67 135 135 90 458.364 372.495 412.829
"10" 75200207 0 1 494 6 0 0.2694 0.2705 0.1956 0.052 -0.0614 0.3018 -0.7823 1.3988 0.6472 1.1793 1.3318 1.1496 -0.3673 0.6364 180 180 180 633.043 647.99 702.437
"11" 75200205 1 1 494 6 0 1.0123 -1.272 2.0054 0.4637 1.1651 2.7249 -0.7823 1.281 0.8129 1.1793 0.9362 1.4444 0.385 0.6364 180 180 180 543.547 615.018 576.038
"12" 75200078 1 1 853 NA 0 0.2641 0.2705 0.1956 0.4637 -0.0614 2.7249 -0.7823 0.481 -0.1547 1.1793 1.0338 0.8822 -1.1481 1.0346 NA NA NA 401.013 362.762 455.185
"13" 75200012 1 1 494 2 0 -1.793 2.2999 0.571 1.0671 0.4558 -0.2098 0.2907 0.1865 0.0983 0.0477 -0.0173 -1.1844 0.6259 -0.67 170 170 170 423.959 493.855 418.939
"14" 75200171 0 1 494 4 0 -0.2026 0.2705 -0.5707 -0.687 0.7877 0.6818 0.1462 0.3881 0.4961 0.6763 0.2901 -0.6141 1.314 -0.6576 195 195 195 462.029 535.017 430.577
"15" 75200193 1 1 494 5 0 -1.4526 0.2705 -0.733 -0.687 0.3444 -0.3184 -0.7823 0.223 -0.4983 0.1806 0.4285 0.7562 1.314 -0.6576 180 120 180 674.811 634.601 626.554
"16" 75200073 1 2 494 5 0 1.0166 -1.272 0.7262 -0.9823 -1.0259 0.0914 0.2907 -0.2328 -0.5849 -0.4903 -0.287 0.3247 0.3485 -1.5824 220 275 165 517.994 502.747 442.035
"17" 75200122 0 1 494 3 0 -0.1886 -0.6346 1.1811 -0.7592 1.111 0.6818 -0.7823 -0.9907 0.403 -1.0118 -1.4758 -1.2016 0.1924 -1.1847 180 120 120 621.296 610.466 542.536
"18" 75200012 0 1 494 6 0 -1.1538 0.2705 -0.2047 0.052 -0.5176 -0.4509 -0.7823 1.1151 1.1527 1.1793 0.8264 1.012 1.314 -0.6576 170 170 170 463.618 561.234 554.994
"19" 75200166 1 2 853 6 0 -1.4526 -0.6451 -0.2661 -0.3799 -0.1244 0.0963 0.7703 1.0226 0.2363 1.1793 1.1524 1.335 -0.0348 0.2169 280 210 280 506.857 578.438 583.567
