"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav"
"1" 4000001 0 1 148 6 0 1.5998 1.2826 -1.2263 1.8905 0.7761 -1.3708 NA 0.557 1.8303 -0.1357 -0.2334 1.0256 -2.7106 0.5029 NA NA NA 508.747 487.214 464.256 23 1.6863 -0.2755 1.2343 0.6015
"2" 4000001 0 1 148 5 0 -1.7421 -0.4021 1.2643 -0.5311 -0.8277 0.0577 -0.7823 -0.2598 -1.8538 -0.6853 0.7352 0.3411 -0.5575 -0.6576 100 100 150 454.931 481.897 441.254 23 1.6863 -0.2755 1.2343 0.6015
"3" 4000001 0 1 148 3 0 0.9714 -0.2888 0.1956 0.052 0.3858 0.9517 -0.7823 0.5168 0.1121 -0.6853 1.009 -0.5286 0.6259 1.0346 100 100 200 508.312 600.732 598.53 23 1.6863 -0.2755 1.2343 0.6015
"4" 4000001 0 1 148 3 0 -0.1241 -0.2888 -1.1146 -0.3799 -1.0352 0.6818 -0.7823 0.2062 -0.1308 -0.6853 0.5549 -0.3771 -0.2023 0.6364 150 100 100 489.085 498.597 522.211 23 1.6863 -0.2755 1.2343 0.6015
"5" 4000001 0 1 148 4 0 0.0127 0.7192 -0.5707 0.4637 -0.8109 -0.1762 NA -0.1727 -0.5158 0.0477 -0.0033 -0.296 -2.1621 NA NA NA NA 485.851 431.831 448.353 23 1.6863 -0.2755 1.2343 0.6015
"6" 4000001 0 1 148 4 0 0.6934 -0.8863 -0.4112 -1.2792 -0.4684 0.9423 0.2907 -0.2 -0.889 -0.6122 0.3285 -0.8975 -0.7074 1.0346 100 100 100 519.694 522.363 496.605 23 1.6863 -0.2755 1.2343 0.6015
"7" 4000001 0 1 148 5 0 0.5935 -0.7816 -0.9792 0.1097 -1.0586 -0.5707 0.2907 0.3769 0.0038 -0.6122 0.921 -0.187 -1.3345 -0.6576 90 90 90 519.169 511.009 516.739 23 1.6863 -0.2755 1.2343 0.6015
"8" 4000001 0 1 148 5 0 0.8628 -1.272 -0.3907 0.052 0.3693 1.4903 -0.7823 -0.0532 -0.6072 -0.6853 0.1777 -0.0861 -2.1621 0.5029 100 100 200 523.565 585.432 550.142 23 1.6863 -0.2755 1.2343 0.6015
"9" 4000001 0 1 148 5 0 -0.9016 -0.6451 0.3709 0.4637 0.3858 -0.1843 0.6725 0.6928 -0.889 1.1793 1.4335 0.2296 -0.476 1.0346 90 90 90 395.485 346.76 380.026 23 1.6863 -0.2755 1.2343 0.6015
"10" 4000001 0 1 148 6 0 1.2316 -1.272 -0.9792 1.1422 1.1651 -1.2471 1.1928 0.4429 0.9421 -1.0193 0.3504 1.0897 -1.7418 0.5029 100 100 100 494.272 561.862 468.466 23 1.6863 -0.2755 1.2343 0.6015
"11" 4000001 0 1 148 6 0 -1.3214 -1.272 0.6314 -1.8939 -0.0328 2.7249 -0.7823 0.672 1.3873 -0.6122 0.2054 1.2267 -0.0862 1.0346 100 100 150 483.181 428.522 505.854 23 1.6863 -0.2755 1.2343 0.6015
"12" 4000001 0 1 148 5 0 -1.0555 -1.272 -0.4112 1.0671 -1.1399 0.5082 0.8615 0.4797 0.288 1.1793 0.2908 0.1394 -2.1621 0.6402 100 100 100 421.739 456.616 401.205 23 1.6863 -0.2755 1.2343 0.6015
"13" 4000001 0 1 148 6 0 0.4067 1.1904 -0.5707 -1.2792 -3.1675 -0.9239 -0.7823 0.2805 0.288 -0.5668 0.3661 0.939 0.2048 -1.8598 100 100 150 400.597 387.513 373.774 23 1.6863 -0.2755 1.2343 0.6015
"14" 4000001 0 1 148 4 0 -0.1419 -1.272 -0.9372 -1.8939 -1.0352 0.2949 -0.7823 0.148 -1.2648 -0.1357 0.5357 -0.0887 -1.1864 -0.6576 100 100 150 565.543 589.906 585.916 23 1.6863 -0.2755 1.2343 0.6015
"15" 4000001 0 1 148 3 0 1.7513 -0.4021 -1.7009 -0.13 0.3693 0.6818 1.7926 0.0266 -0.3076 -0.1357 0.0855 -0.736 1.314 1.0346 100 100 100 564.743 544.276 510.682 23 1.6863 -0.2755 1.2343 0.6015
"16" 4000001 0 1 148 4 0 -0.2704 -1.272 -2.345 -0.9823 -1.0583 0.1634 0.2907 0.629 -0.2043 -0.6122 1.4335 0.0432 -0.2023 -0.6576 100 150 100 559.755 545.433 524.519 23 1.6863 -0.2755 1.2343 0.6015
"17" 4000001 0 1 148 5 0 -0.5831 -1.272 1.2643 1.4083 -1.7141 2.7249 -0.7823 0.5914 0.516 -1.0118 0.916 0.4281 -0.3472 1.0346 100 100 150 491.732 497.002 441.448 23 1.6863 -0.2755 1.2343 0.6015
"18" 4000001 0 1 148 3 0 0.1816 0.8232 -0.9792 0.052 -1.2865 -0.0358 -0.7823 0.307 0.5027 -0.6853 0.5492 -0.3344 0.2148 0.6364 100 150 100 398.754 441.132 471.532 23 1.6863 -0.2755 1.2343 0.6015
"19" 4000001 0 2 663 5 0 -0.7637 1.2958 -1.1146 -1.8939 -0.8738 1.4903 -0.7823 0.323 1.3873 -0.6853 -0.0947 -0.2452 -0.2744 1.0346 100 100 100 486.277 519.164 423.9 23 1.6863 -0.2755 1.2343 0.6015
"20" 4000001 0 1 148 3 0 -0.3571 -0.8863 0.1956 -0.2006 -0.0614 0.9517 NA -0.5103 -0.889 0.0477 -0.5014 -0.5246 -2.0248 -0.6576 100 100 150 601.535 601.932 538.863 23 1.6863 -0.2755 1.2343 0.6015
"21" 4000001 0 1 148 3 0 2.6131 -1.272 -0.2047 -0.4342 1.6219 0.6678 0.8615 1.4203 1.8303 -0.1357 0.7508 0.4387 0.2485 0.6364 100 150 100 647.386 618.383 603.099 23 1.6863 -0.2755 1.2343 0.6015
"22" 4000001 0 3 148 5 0 0.6148 0.7192 -0.733 -0.6133 0.3858 -0.4509 -0.7823 0.0089 0.5522 -0.1357 -0.53 -0.3418 0.4522 -0.6576 90 90 90 471.669 469.446 430.181 23 1.6863 -0.2755 1.2343 0.6015
