"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav"
"1" 5600001 0 1 322 6 0 -0.4025 0.2705 0.4352 -0.3799 -0.0614 0.3018 0.7703 0.3208 -0.0102 -0.6122 0.9053 0.9561 0.4394 1.0346 0 250 200 500 365.621 422.648 484.802 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"2" 5600001 0 1 322 6 1 0.3171 0.9672 -0.9792 -0.4342 -0.0614 0.3241 0.2907 -0.2385 -0.1552 0.1806 -0.1593 -0.242 -0.5488 0.2127 NA 150 100 0 460.573 536.444 472.924 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"3" 5600001 0 1 322 4 0 -0.1042 0.2705 -0.2047 0.4637 -0.5176 -0.445 1.1625 -0.5983 -0.1552 -0.1357 -0.4518 -0.402 -0.7074 -1.5824 2 150 200 250 458.569 469.018 435.863 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"4" 5600001 1 1 322 3 1 -1.4526 -1.272 -0.3247 -1.8939 -1.2862 0.052 1.1928 -0.2993 -1.2782 -1.4924 0.9566 -0.4611 0.7628 1.0346 2 100 100 0 454.381 428.327 471.138 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"5" 5600001 1 1 621 6 0 -1.9715 -0.8863 2.0054 -1.8939 -0.0614 -0.0939 0.7703 0.6922 0.6026 -0.6122 0.6541 1.1952 -1.1284 -0.6576 1 150 200 200 527.365 480.877 483.301 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"6" 5600001 0 3 500 5 1 -1.1538 0.2705 -0.9792 -0.3799 -0.5176 -0.4415 0.2907 0.1755 -1.8696 1.1793 0.5116 -0.2227 -0.5973 1.0346 1 250 200 100 431.747 483.288 411.051 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"7" 5600001 0 1 322 6 0 -0.5959 1.1904 -0.2661 -0.3799 0.3444 0.0834 -0.7823 0.4681 -0.0102 0.1806 0.8103 0.0254 -0.6587 1.0346 0 180 120 0 335.815 397.44 385.422 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"8" 5600001 1 2 621 5 0 0.2641 -1.272 0.7871 -0.2459 -0.1433 -0.2027 NA 1.5715 1.3903 1.1793 1.5412 0.8429 -0.6587 1.0346 1 150 200 300 431.85 614.743 530.751 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"9" 5600001 0 1 322 4 0 -0.5262 0.2705 -0.2661 -0.687 -1.3068 -0.5582 0.2907 -0.6052 -0.7708 0.0477 -0.2264 -0.9525 -0.7074 -0.6576 0 100 100 0 406.72 392.419 381.487 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"10" 5600001 0 1 322 4 1 -1.4526 0.7192 -0.5707 -0.687 -0.0614 -0.3184 -0.7823 -0.9828 -1.8696 -0.1357 -0.7924 -1.3937 -0.9422 -0.6576 1 150 150 200 424.894 407.63 383.793 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
