"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "teach_multicult"
"1" 75600001 1 1 648 5 0 -1.9715 -1.272 1.1811 -1.8939 0.871 2.7249 0.7703 -0.1566 -0.3819 1.1793 -0.2255 0.6148 0.2485 1.0346 225 270 270 389.483 429.07 521.594 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"2" 75600001 0 3 854 3 0 -1.1285 1.6524 -0.9792 NA NA NA NA -0.4663 0.2484 -0.1357 -0.727 -1.0534 0.1924 NA NA NA NA 437.525 439.259 445.971 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"3" 75600001 0 1 667 6 1 0.1118 1.1904 NA NA NA NA NA -0.6496 -0.6541 1.1793 -0.323 0.4166 0.2148 NA NA NA NA 422.981 489.633 481.367 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"4" 75600001 0 3 854 6 0 0.9011 -0.2888 0.4352 -0.7592 1.5527 0.0869 NA 0.5942 0.5835 -0.1357 0.3096 0.7927 1.314 1.0346 NA NA NA 534.264 549.875 532.14 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"5" 75600001 1 1 648 4 0 -0.6146 0.7192 -0.9792 -0.9295 -0.0614 -0.3184 NA -0.045 -0.0502 -0.6853 -0.2101 -0.4531 0.039 NA NA NA NA 645.391 568.961 589.536 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"6" 75600001 0 NA 667 2 0 -0.4389 1.6524 -0.2047 -0.3799 -0.0614 0.0544 -0.7823 -1.3418 0.4765 -0.5492 -1.7331 -2.0148 -0.8998 1.0346 225 270 90 370.548 307.599 288.883 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"7" 75600001 1 2 140 0 0 -0.3408 1.6524 2.0054 -0.3799 0.4842 -0.8454 0.2907 0.1399 -0.3819 0.2646 0.7857 -2.1793 -0.0037 -0.6576 90 90 90 444.998 422.24 423.611 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"8" 75600001 1 2 140 NA 0 -1.2014 0.2705 0.7871 -0.4342 -0.0614 0.6818 0.2907 -0.3868 -0.3819 -0.4903 0.3161 -0.6575 0.7628 -0.6576 135 90 225 431.669 332.005 367.619 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"9" 75600001 0 1 648 5 0 -0.9223 -1.272 -1.3898 -1.4242 0.7872 1.4685 NA 0.1444 0.2484 -0.1357 0.2044 -0.3205 1.314 NA NA NA NA 526.522 510.389 506.355 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"10" 75600001 1 2 140 3 0 0.8628 -0.8863 2.0054 -1.8939 0.7872 0.0268 NA -0.1005 0.495 -0.5492 -0.0271 -0.7898 -0.0348 1.0346 NA NA NA 371.497 315.221 371.225 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"11" 75600001 0 3 232 3 0 -0.2406 -1.272 -0.733 -0.3009 -0.0614 -0.0845 0.1462 0.0166 -1.2227 1.1793 0.4015 -0.7403 -0.9734 -0.6576 90 135 225 373.121 325.205 323.682 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"12" 75600001 1 2 140 NA 0 -0.7029 0.7192 -0.9792 -0.687 NA NA NA -1.5973 -1.8748 -1.0118 -1.0842 -2.0593 0.3117 NA NA NA NA 344.619 319.455 321.314 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
