"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "teach_multicult"
"1" 38000001 0 1 200 4 0 1.5482 0.2705 -0.2047 1.4083 NA NA NA -0.3257 -0.1044 -0.1357 -0.325 -0.5868 0.7015 NA 0 NA NA NA 629.76 646.652 581.933 28 11.9828 NA -1.4551 1.3527 1.2092 0.3009
"2" 38000001 1 1 200 4 0 -1.1538 -0.7816 -0.6888 0.1097 0.0843 0.9423 NA 0.5659 0.5763 1.1793 0.2577 0.1903 -1.1481 NA 0 NA NA NA 484.683 524.18 474.548 28 11.9828 NA -1.4551 1.3527 1.2092 0.3009
"3" 38000001 0 1 200 5 0 1.0781 -0.2888 2.0054 -0.13 -0.7997 -0.3086 -0.7823 0.2958 0.376 -0.6853 0.5835 -0.0906 -1.5925 1.0346 0 180 240 120 570.942 458.249 545.041 28 11.9828 NA -1.4551 1.3527 1.2092 0.3009
"4" 38000001 0 1 200 4 0 0.5572 0.2705 1.2643 1.8905 1.6438 0.1695 -0.7823 -0.5122 -0.1778 -0.1357 -0.2296 -0.8141 -1.415 -0.6576 0 110 165 110 496.42 412.906 415.86 28 11.9828 NA -1.4551 1.3527 1.2092 0.3009
"5" 38000001 0 1 200 6 0 2.6131 -1.272 -0.5707 -0.3498 0.7617 0.3018 NA 0.2849 0.6842 1.1793 -0.2497 0.2923 0.7015 1.0346 0 165 275 110 623.376 512.751 500.799 28 11.9828 NA -1.4551 1.3527 1.2092 0.3009
"6" 38000002 1 1 200 2 0 -0.1542 0.2705 -0.2661 -0.687 -0.4909 0.3241 -0.7823 -1.6253 -1.8379 -1.0118 -1.5599 -2.1348 -0.5197 -1.1847 0 240 300 120 311.935 225.37 268.47 18 6.6281 0.3066 -0.7828 0.1705 -0.5079 0.9042
"7" 38000002 1 NA 200 6 0 0.1847 1.6524 -0.8279 1.8905 -1.3002 -1.3889 1.203 0.3218 0.3898 0.0477 0.0573 0.9565 1.314 -1.4926 1 560 640 160 440.532 294.939 307.98 18 6.6281 0.3066 -0.7828 0.1705 -0.5079 0.9042
"8" 38000002 0 1 200 2 1 0.7156 1.6524 0.1956 -1.8939 -0.0614 0.3241 1.7145 -1.0406 -0.4042 -0.1614 -0.8499 -1.717 0.7015 0.2127 0 300 540 120 344.323 287.481 301.255 18 6.6281 0.3066 -0.7828 0.1705 -0.5079 0.9042
"9" 38000002 1 1 611 4 1 -1.1798 -0.2888 -0.5707 -0.1748 1.217 0.6678 NA -1.0992 -1.465 1.1793 -0.5981 -1.4312 1.314 1.0346 0 NA NA NA 384.994 280.417 329.431 18 6.6281 0.3066 -0.7828 0.1705 -0.5079 0.9042
"10" 38000003 1 1 200 6 0 -0.2704 0.2705 1.1811 0.4637 -0.0328 0.3241 -0.7823 0.4436 0.4455 1.1793 -0.2064 0.2825 -0.5575 0.6402 0 NA NA NA 540.941 488.83 465.293 23 11.2584 -0.056 0.0055 -0.6584 0.83 0.9042
