"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "teach_multicult"
"1" 75200001 1 1 494 NA 0 0.5129 0.2705 -0.2661 -0.687 -0.0614 0.6818 -0.7823 0.9099 0.1397 0.2646 1.3676 1.3127 1.314 0.5029 280 210 210 492.916 430.434 506.144 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"2" 75200001 1 1 494 6 0 -0.9655 -1.272 2.0054 -0.4342 2.3693 1.4685 3.8591 0.8245 -0.1547 1.1793 1.1924 1.2445 1.314 1.0346 2400 1200 NA 541.883 452.109 538.393 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"3" 75200001 1 1 494 6 0 -0.5262 0.2705 -2.345 -1.8939 1.6438 -0.1843 2.1379 1.1684 NA 1.1793 1.5425 0.5191 1.314 1.0346 240 300 180 427.412 476.618 508.726 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"4" 75200001 0 1 494 6 0 -0.2388 -1.272 -0.2661 -0.9823 2.3693 0.3299 -0.7823 -1.2584 -0.0465 -0.5492 -1.8461 -0.0614 1.314 0.5029 240 240 180 554.299 543.885 584.051 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"5" 75200001 0 2 853 6 0 -2.7114 0.7192 -0.9792 -1.1858 0.8138 -3.2367 -0.7823 0.2941 0.2363 1.1793 0.3933 0.9332 -1.1481 0.2169 240 240 120 510.997 446.596 478.584 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"6" 75200001 0 3 500 6 0 0.1499 0.7192 0.992 -0.3799 2.3693 -0.1769 -0.7823 0.8397 0.9716 0.7604 0.467 1.3967 1.314 1.0346 280 280 210 579.668 448.396 576.141 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"7" 75200001 0 NA 999 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 548.346 462.662 508.448 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"8" 75200001 0 2 500 6 0 -0.6322 0.8232 0.1956 -0.3799 -0.4684 -0.3184 0.2907 -0.1943 -1.8427 -0.4396 0.5028 -0.2233 -0.3673 -1.3939 240 240 180 529.885 477 493.724 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"9" 75200001 1 1 494 6 0 -0.1542 0.2705 -0.5707 -0.687 -0.5176 -1.0499 0.2907 0.4951 0.8508 1.1793 -0.1564 0.8698 1.314 0.6364 240 180 180 603.5 613.717 643.695 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"10" 75200001 0 2 494 6 0 0.638 0.2705 -0.6888 0.4637 -0.0614 -0.4509 -0.7823 0.2092 -1.2382 0.0477 0.7104 0.2654 1.314 -0.6576 280 280 140 470.301 516.816 499.366 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"11" 75200001 1 1 494 6 0 -2.7114 -1.272 2.0054 NA 2.3693 -0.1769 3.8591 1.9892 1.1527 1.1793 2.1203 1.3539 1.314 -2.4468 NA NA NA 303.933 247.394 295.933 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"12" 75200001 0 1 494 5 0 -1.9715 1.0453 0.3709 0.4637 -0.0614 -0.3184 -0.7823 1.4156 1.0089 1.1793 1.7574 1.1471 -0.2023 1.0346 260 260 195 427.343 480.47 450.936 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"13" 75200001 1 1 494 5 0 -0.2704 0.2705 -2.345 0.052 2.3693 -0.3184 0.1462 -0.0805 0.2206 -0.9779 0.0778 0.6677 1.314 -0.6576 180 240 120 564.181 551.362 626.202 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
