"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "private"
"2" 4000001 0 1 0 5 0 -0.5311 0.0577 -0.7823 0.3411 -0.5575 -0.6576 100 100 150 454.931 481.897 441.254 23 1.6863 -0.2755 1.2343 0.6015 "missing"
"3" 4000001 0 1 0 3 0 0.052 0.9517 -0.7823 -0.5286 0.6259 1.0346 100 100 200 508.312 600.732 598.53 23 1.6863 -0.2755 1.2343 0.6015 "missing"
"4" 4000001 0 1 0 3 0 -0.3799 0.6818 -0.7823 -0.3771 -0.2023 0.6364 150 100 100 489.085 498.597 522.211 23 1.6863 -0.2755 1.2343 0.6015 "missing"
"6" 4000001 0 1 0 4 0 -1.2792 0.9423 0.2907 -0.8975 -0.7074 1.0346 100 100 100 519.694 522.363 496.605 23 1.6863 -0.2755 1.2343 0.6015 "missing"
"7" 4000001 0 1 0 5 0 0.1097 -0.5707 0.2907 -0.187 -1.3345 -0.6576 90 90 90 519.169 511.009 516.739 23 1.6863 -0.2755 1.2343 0.6015 "missing"
"8" 4000001 0 1 0 5 0 0.052 1.4903 -0.7823 -0.0861 -2.1621 0.5029 100 100 200 523.565 585.432 550.142 23 1.6863 -0.2755 1.2343 0.6015 "missing"
"9" 4000001 0 1 0 5 0 0.4637 -0.1843 0.6725 0.2296 -0.476 1.0346 90 90 90 395.485 346.76 380.026 23 1.6863 -0.2755 1.2343 0.6015 "missing"
"10" 4000001 0 1 0 6 0 1.1422 -1.2471 1.1928 1.0897 -1.7418 0.5029 100 100 100 494.272 561.862 468.466 23 1.6863 -0.2755 1.2343 0.6015 "missing"
"11" 4000001 0 1 0 6 0 -1.8939 2.7249 -0.7823 1.2267 -0.0862 1.0346 100 100 150 483.181 428.522 505.854 23 1.6863 -0.2755 1.2343 0.6015 "missing"
"12" 4000001 0 1 0 5 0 1.0671 0.5082 0.8615 0.1394 -2.1621 0.6402 100 100 100 421.739 456.616 401.205 23 1.6863 -0.2755 1.2343 0.6015 "missing"
"13" 4000001 0 1 0 6 0 -1.2792 -0.9239 -0.7823 0.939 0.2048 -1.8598 100 100 150 400.597 387.513 373.774 23 1.6863 -0.2755 1.2343 0.6015 "missing"
"14" 4000001 0 1 0 4 0 -1.8939 0.2949 -0.7823 -0.0887 -1.1864 -0.6576 100 100 150 565.543 589.906 585.916 23 1.6863 -0.2755 1.2343 0.6015 "missing"
"15" 4000001 0 1 0 3 0 -0.13 0.6818 1.7926 -0.736 1.314 1.0346 100 100 100 564.743 544.276 510.682 23 1.6863 -0.2755 1.2343 0.6015 "missing"
"16" 4000001 0 1 0 4 0 -0.9823 0.1634 0.2907 0.0432 -0.2023 -0.6576 100 150 100 559.755 545.433 524.519 23 1.6863 -0.2755 1.2343 0.6015 "missing"
"17" 4000001 0 1 0 5 0 1.4083 2.7249 -0.7823 0.4281 -0.3472 1.0346 100 100 150 491.732 497.002 441.448 23 1.6863 -0.2755 1.2343 0.6015 "missing"
"18" 4000001 0 1 0 3 0 0.052 -0.0358 -0.7823 -0.3344 0.2148 0.6364 100 150 100 398.754 441.132 471.532 23 1.6863 -0.2755 1.2343 0.6015 "missing"
"19" 4000001 0 2 3 5 0 -1.8939 1.4903 -0.7823 -0.2452 -0.2744 1.0346 100 100 100 486.277 519.164 423.9 23 1.6863 -0.2755 1.2343 0.6015 "missing"
"21" 4000001 0 1 0 3 0 -0.4342 0.6678 0.8615 0.4387 0.2485 0.6364 100 150 100 647.386 618.383 603.099 23 1.6863 -0.2755 1.2343 0.6015 "missing"
