"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "private"
"1" 20800001 0 1 0 6 0 -0.3498 -0.3184 -0.7823 1.3042 -1.3345 1.0346 2 135 315 180 396.943 320.519 366.807 23 15.7833 -0.2805 0.43 0.1945 -0.5968 "public"
"2" 20800001 0 1 0 6 0 -0.2006 0.8801 0.8615 0.7362 -0.9734 1.0346 1 225 270 225 571.001 496.808 518.04 23 15.7833 -0.2805 0.43 0.1945 -0.5968 "public"
"3" 20800001 0 2 0 6 0 0.052 0.6862 -0.7823 0.8925 0.7628 1.0346 1 540 540 270 529 554.579 520.353 23 15.7833 -0.2805 0.43 0.1945 -0.5968 "public"
"4" 20800001 0 1 0 5 0 0.1097 -0.2897 -0.7823 -0.2417 -0.5575 -0.6576 1 135 225 135 432.664 509.723 487.18 23 15.7833 -0.2805 0.43 0.1945 -0.5968 "public"
"5" 20800001 0 1 0 6 0 1.8905 0.1853 -0.7823 1.457 0.039 0.6402 1 225 315 180 545.061 676.666 712.922 23 15.7833 -0.2805 0.43 0.1945 -0.5968 "public"
"6" 20800001 1 1 0 6 0 -0.9823 0.6862 -0.7823 1.0532 1.314 1.0346 0 360 420 300 643.943 678.603 652.317 23 15.7833 -0.2805 0.43 0.1945 -0.5968 "public"
"8" 20800001 0 1 0 6 0 -0.13 -0.4509 0.2907 1.2915 -0.4377 1.0346 2 225 315 225 579.62 677.469 677.242 23 15.7833 -0.2805 0.43 0.1945 -0.5968 "public"
"10" 20800001 1 1 0 5 0 -0.3799 0.1997 0.2907 1.1097 -0.2441 0.6402 0 225 270 135 528.953 535.452 546.248 23 15.7833 -0.2805 0.43 0.1945 -0.5968 "public"
"11" 20800001 1 1 0 6 0 -0.4342 0.9517 -0.7823 0.9547 0.039 -0.6576 0 240 360 180 617.96 577.259 597.443 23 15.7833 -0.2805 0.43 0.1945 -0.5968 "public"
"12" 20800001 0 1 0 5 0 1.8905 -0.3184 -0.7823 -0.5589 -0.0554 0.3622 0 360 450 270 476.246 478.032 424.136 23 15.7833 -0.2805 0.43 0.1945 -0.5968 "public"
"14" 20800001 0 2 2 5 0 0.4637 -0.5635 0.2907 -0.3475 0.7015 1.0346 1 225 315 180 566.391 553.757 551.982 23 15.7833 -0.2805 0.43 0.1945 -0.5968 "public"
"16" 20800001 1 1 0 6 0 -0.687 2.7249 -0.7823 1.0158 1.314 -0.6576 0 225 270 180 570.446 587.508 556.652 23 15.7833 -0.2805 0.43 0.1945 -0.5968 "public"
"17" 20800001 1 1 0 6 0 0.4637 2.7249 0.8233 0.9923 -1.1481 1.0346 0 270 360 90 467.9 344.507 351.485 23 15.7833 -0.2805 0.43 0.1945 -0.5968 "public"
"23" 20800001 1 1 0 6 0 -0.13 -0.6693 0.1462 -0.1438 -0.2023 -0.6576 2 300 300 180 540.248 454.42 496.757 23 15.7833 -0.2805 0.43 0.1945 -0.5968 "public"
"24" 20800001 1 1 0 6 0 1.4083 0.4458 1.4812 1.1437 -0.6262 -1.1847 2 540 630 540 620.072 558.11 511.034 23 15.7833 -0.2805 0.43 0.1945 -0.5968 "public"
"25" 20800001 1 1 0 6 0 -0.9823 -0.5635 0.2907 0.7201 -0.5575 -1.0657 1 270 360 225 650.733 680.083 687.767 23 15.7833 -0.2805 0.43 0.1945 -0.5968 "public"
"26" 20800001 1 1 0 6 0 -0.9295 0.0589 -0.7823 0.4522 -0.3971 -0.6576 1 270 360 270 539.06 480.354 515.846 23 15.7833 -0.2805 0.43 0.1945 -0.5968 "public"
"93" 20800006 1 1 0 6 0 -0.13 -0.3895 -0.7823 1.1991 0.385 0.2169 0 225 270 135 584.953 500.026 498.508 13 21.4444 -1.4212 -1.4551 -0.3176 -0.9463 "private"
"96" 20800006 1 1 0 6 0 -0.4342 0.3241 -0.7823 0.9103 0.1924 -0.6576 0 270 315 180 513.393 523.413 464.385 13 21.4444 -1.4212 -1.4551 -0.3176 -0.9463 "private"
"97" 20800006 0 1 0 3 0 1.8905 -0.5582 -0.7823 -1.0434 0.039 -0.6576 1 180 360 270 486.591 505.332 500.562 13 21.4444 -1.4212 -1.4551 -0.3176 -0.9463 "private"
"98" 20800006 1 1 0 6 1 0.052 1.4903 -0.7823 -0.2747 -0.3673 -0.6576 0 250 300 150 469.862 346.544 358.869 13 21.4444 -1.4212 -1.4551 -0.3176 -0.9463 "private"
"99" 20800006 1 1 0 6 0 -0.3498 1.4326 -0.7823 0.9909 1.314 0.5029 0 180 360 180 651.132 655.033 682.683 13 21.4444 -1.4212 -1.4551 -0.3176 -0.9463 "private"
"100" 20800006 0 1 0 6 0 0.4637 -0.8336 0.2907 0.7274 0.3485 -0.6576 0 440 880 440 505.31 537.975 469.578 13 21.4444 -1.4212 -1.4551 -0.3176 -0.9463 "private"
"101" 20800006 1 1 2 6 0 -0.2006 0.6818 0.2907 0.1623 0.7628 0.6402 0 180 360 180 515.468 551.683 564.839 13 21.4444 -1.4212 -1.4551 -0.3176 -0.9463 "private"
"102" 20800006 1 1 0 6 0 -0.4342 -0.4509 0.8615 0.8547 0.7628 -0.6576 2 180 360 180 693.14 612.485 672.42 13 21.4444 -1.4212 -1.4551 -0.3176 -0.9463 "private"
"105" 20800006 0 1 0 6 0 0.1097 -0.4415 0.7703 1.0537 -0.9734 -0.6576 0 180 360 180 505.904 521.767 446.041 13 21.4444 -1.4212 -1.4551 -0.3176 -0.9463 "private"
"106" 20800006 1 1 0 6 0 -0.687 0.3241 0.2907 1.2075 -0.2023 -0.6576 0 180 360 180 629.137 638.645 613.339 13 21.4444 -1.4212 -1.4551 -0.3176 -0.9463 "private"
"107" 20800007 1 1 2 6 0 0.052 0.0716 0.7703 0.3368 -1.1176 -0.6576 1 240 300 120 569.671 575.37 545.854 23 10.5088 -1.4212 0.43 1.0522 0.1104 "public"
"108" 20800007 1 1 0 5 0 -0.7592 -0.4371 1.1928 -0.5313 -0.7769 0.2169 0 240 240 240 534.828 533.449 574.585 23 10.5088 -1.4212 0.43 1.0522 0.1104 "public"
"110" 20800007 1 1 0 5 0 0.1097 -0.4935 1.203 -0.1116 -2.7106 1.0346 1 180 300 180 478.884 522.688 555.412 23 10.5088 -1.4212 0.43 1.0522 0.1104 "public"
"114" 20800007 0 1 2 6 0 -0.4678 -0.7062 2.1088 -0.1781 -0.7857 -1.5847 0 240 420 180 454.78 327.597 293.751 23 10.5088 -1.4212 0.43 1.0522 0.1104 "public"
"117" 20800007 1 1 0 6 1 -0.13 -1.1224 1.1928 0.3092 -0.2023 -0.6576 2 240 180 120 523.267 476.776 557.513 23 10.5088 -1.4212 0.43 1.0522 0.1104 "public"
"119" 20800007 0 1 0 5 0 0.052 -0.7386 0.2907 1.3856 1.314 1.0346 0 300 480 360 535.94 624.052 594.733 23 10.5088 -1.4212 0.43 1.0522 0.1104 "public"
"121" 20800007 1 2 0 3 0 -0.687 -0.1562 -0.7823 -1.2053 0.385 -1.5824 0 240 420 240 480.135 474.776 462.123 23 10.5088 -1.4212 0.43 1.0522 0.1104 "public"
"122" 20800007 0 1 0 6 0 -0.13 -0.5582 0.2907 -0.3123 -0.7074 -0.6576 1 240 420 240 475.299 461.394 463.683 23 10.5088 -1.4212 0.43 1.0522 0.1104 "public"
