"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "math" "read" "scie"
"1" 4000199 0 1 0 6 0 0.6575 -0.6451 -0.9372 -0.4939 -0.5104 0.0638 0.1462 1.4506 1.8303 1.1793 0.5108 1.3007 0.3485 0.2127 568.846 513.366 612.12
"3" 4000054 1 1 0 5 0 -1.3532 -1.272 0.7262 -1.8939 0.0217 0.6818 -0.7823 -0.0133 -1.8538 -1.5532 1.7796 0.1446 -2.7106 -0.9285 367.66 332.971 335.18
"4" 4000116 0 2 2 3 0 -0.2352 -1.272 1.2643 -1.8939 2.3693 -2.4306 -0.7823 -0.6977 -1.8538 0.1806 -0.3965 -0.604 1.314 -2.4468 373.412 396.803 387.728
"5" 4000284 1 3 2 4 0 0.0797 1.1904 -0.9792 -0.687 -1.6789 -0.9879 1.1625 -1.1351 -1.2648 -1.3525 -0.5283 -1.4464 -0.2251 -1.5824 384.395 349.216 358.425
"6" 4000180 1 1 0 4 0 0.428 -0.5536 -0.6888 0.8207 -0.8544 -0.224 -0.7823 1.6857 1.0552 -0.4903 1.6836 0.8004 -1.1846 -1.1847 455.822 505.075 503.618
"9" 4000218 0 2 2 5 0 -0.3408 -1.272 0.7871 1.4083 -1.2865 -0.3184 -0.7823 -0.6753 -0.6072 0.1806 -0.8657 -0.8306 -1.415 1.0346 467.364 594.058 534.344
"10" 4000090 1 1 0 3 0 0.1667 0.2705 0.6314 -0.687 0.7251 2.7249 0.2907 0.6027 1.8303 -1.0527 0.359 0.0178 -0.2023 1.0346 513.723 529.562 578.955
"11" 4000052 0 3 0 3 0 -0.6146 -0.6451 1.2643 0.8794 -0.5536 0.9423 -0.7823 0.1555 0.0038 -0.1357 0.1904 -0.747 1.314 1.0346 484.441 465.473 435.82
"12" 4000249 1 1 0 6 0 -0.4122 -1.272 2.0054 -0.7592 0.7923 0.6818 -0.7823 1.825 1.8303 1.1793 1.3041 0.9799 -0.5973 1.0346 582.007 564.928 579.536
"14" 4000099 0 1 0 3 0 2.6131 -1.272 2.0054 -0.687 -0.0614 2.7249 -0.7823 -0.2529 0.3676 -0.1357 -0.3204 -0.5714 -0.8065 1.0346 584.081 644.214 609.762
"16" 4000213 1 2 3 5 0 -1.7421 -1.272 -1.2708 -0.3799 -0.5176 0.3241 -0.7823 -0.7493 -1.8538 -0.4396 -0.2461 -0.6987 0.7628 -0.6576 474.853 402.66 397.385
"17" 4000082 0 2 2 3 0 -0.4262 -0.8863 -0.2047 1.8905 -0.7737 0.6818 -0.7823 -0.579 -0.4698 0.6763 -0.5777 -1.2006 -0.9422 0.6402 485.171 432.089 502.96
"18" 4000275 1 1 0 6 0 2.6131 -1.272 2.0054 0.4637 2.3693 2.7249 -0.7823 1.1418 0.9421 1.1793 0.5683 0.8043 -0.2023 1.0346 512.119 433.745 463.333
"19" 4000004 1 1 0 5 0 -0.1241 -0.8863 0.4352 -0.3799 -0.0267 -0.4233 -0.7823 -0.5014 0.1497 -1.0118 -0.5217 -0.2758 -0.9306 0.5029 503.596 515.275 413.047
"21" 4000184 1 1 0 5 0 -0.2584 -0.7816 0.571 0.8207 -0.0614 -0.132 -0.7823 3.2451 1.0552 1.1793 3.2665 0.9074 -2.7106 1.0346 655.775 518.468 579.513
"22" 4000140 0 2 2 3 0 -1.7421 0.7192 -0.733 -0.687 -0.0614 -0.6464 0.6725 0.2878 0.8775 -0.6122 -0.1124 0.1721 -0.6262 -0.67 517.896 507.136 548.718
"23" 4000062 1 2 2 4 1 -0.4556 1.6524 -0.9792 0.052 -0.7622 -0.445 -0.7823 0.3339 -0.4698 0.1806 0.3087 -0.6715 -1.3119 0.6402 454.401 464.186 492.909
"24" 4000155 1 2 3 4 0 -1.7421 -1.272 -0.6151 -1.1597 0.7872 1.4326 -0.7823 -0.6575 -0.5158 -0.5813 -0.5129 -0.976 0.6259 1.0346 522.086 487.353 514.503
"25" 4000301 1 1 0 3 1 -2.7114 -0.4021 -0.2047 -0.4342 -0.0614 -1.0499 1.5346 -0.0454 -0.6072 0.1806 0.0194 -0.832 -1.1481 -0.6576 442.248 440.409 412.693
"26" 4000130 1 2 2 1 0 -1.4526 1.2958 0.1956 0.8207 -0.8277 0.6818 1.2618 -0.6157 -1.8538 0.1806 -0.2461 -2.0056 -1.1965 -1.0691 419.87 470.295 464.824
"27" 4000268 1 1 0 3 1 -0.2388 -1.272 1.1811 1.8905 -0.7288 0.6738 -0.7823 -1.1007 0.1121 -0.6853 -1.5804 -1.1729 -0.7366 -2.4468 450.741 563.932 528.787
"28" 4000010 0 1 0 3 0 -1.0789 0.2705 -0.2047 -0.687 0.4686 -0.0939 0.1462 -0.8357 -0.7725 -1.1515 -0.1648 -1.2738 -1.4486 -2.4468 454.359 451.478 470.382
"31" 4000277 0 2 0 6 0 0.9011 -0.7816 -1.5513 -0.3498 0.7872 -0.0939 -0.7823 0.3648 0.4508 1.1793 -0.3662 0.5733 -0.5488 1.0346 469.844 619.168 564.272
"32" 4000115 0 1 0 6 0 0.5572 0.2705 -0.9792 -1.1597 -0.7997 -0.3184 -0.7823 0.4617 1.0552 1.1793 -0.4318 1.1169 0.2485 1.0346 585.179 615.936 553.729
"34" 4000232 0 1 0 5 0 -0.2875 0.7192 0.6314 1.8905 0.3858 0.1634 0.2907 0.6978 0.4231 1.1793 0.6906 -0.0017 -0.7366 0.6364 487.071 536.461 519.075
"35" 4000161 0 1 0 6 0 -1.1285 -0.6346 -0.5707 -0.13 0.7251 2.7249 0.2907 0.8832 1.8303 -0.6947 0.3625 0.83 -0.3172 0.2127 448.372 451.454 480.236
