"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "math" "read" "scie"
"1" 5600011 0 1 0 6 0 1.2316 -1.272 1.1811 -1.8939 2.3693 -0.2979 -0.7823 0.5732 1.0629 1.1793 -0.5768 1.0324 -0.2871 0.6402 637.743 694.995 644.7
"3" 5600092 1 1 1 6 0 -0.7215 0.2705 0.1956 -0.3799 -0.0614 -0.4415 -0.7823 0.3152 -0.0809 -0.1357 0.27 0.3202 1.314 -0.6576 502.572 486.057 524.375
"4" 5600296 1 1 0 3 0 -0.5792 -1.272 -0.5707 -0.2459 -1.5286 -0.6688 1.4812 -0.8316 -1.8696 -1.5603 0.1479 -1.2974 -2.7106 -0.9167 439.499 434.162 416.168
"5" 5600273 1 1 0 6 0 0.7942 -1.272 0.1956 0.4637 1.1497 -0.2649 0.2907 1.6963 1.8415 1.1793 0.8419 1.6965 1.314 1.0346 616.205 598.437 622.058
"8" 5600236 0 1 0 4 0 0.0127 0.7192 -0.733 0.4637 -0.8109 -0.2979 -0.7823 0.1486 0.0181 0.0477 0.2605 -0.5857 -0.1512 1.0346 640.302 649.33 579.438
"10" 5600156 0 1 0 6 0 0.3703 1.6524 1.2643 0.8794 -0.096 0.6818 -0.7823 0.4279 0.4713 1.1793 0.1383 0.9928 -2.7106 0.2169 498.627 515.558 498.619
"13" 5600178 1 1 0 6 1 -0.6896 0.2705 -1.3427 -0.3009 -0.4004 -1.126 1.2618 0.2956 -0.0455 -0.8243 0.9654 0.1972 0.1694 -1.1847 416.181 374.481 369.532
"15" 5600001 0 1 0 4 1 0.5006 0.9166 0.411 1.3423 -0.7095 -0.2188 -0.7823 -0.1243 -0.4961 -1.0118 0.4729 -0.517 0.0483 0.005 391.63 303.378 366.977
"17" 5600293 0 1 0 5 0 2.6131 -1.272 1.2643 1.8905 -0.8579 -0.1136 0.1462 -0.1271 -0.1552 1.1793 -0.2031 0.366 1.314 1.0346 544.729 511.787 588.498
"19" 5600082 0 1 0 6 0 0.9011 0.7192 0.3709 -1.2319 -1.321 -0.7764 -0.7823 1.1458 0.7386 1.1793 1.2291 1.2936 0.2148 0.3622 592.2 572.4 482.368
