"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "math" "read" "scie"
"1" 75600225 0 1 0 5 0 -1.0322 -0.2888 -1.3427 1.4083 -0.0614 0.9683 -0.7823 0.3422 0.1528 0.2646 1.1246 0.7618 -0.8998 1.0346 608.855 615.767 570.192
"2" 75600110 1 1 0 5 0 -1.3214 1.0453 -0.9792 -0.3288 -0.0614 0.6818 0.2907 0.98 0.8034 -0.1357 1.087 0.5926 0.4394 1.0346 565.768 605.519 607.338
"4" 75600207 1 1 0 3 1 -1.9715 0.2705 0.1956 -1.8939 0.4552 2.7249 -0.7823 0.0717 -0.7888 -0.6122 0.7684 -0.6278 0.7628 0.6364 603.2 560.797 546.758
"5" 75600092 0 2 2 5 0 1.7513 -0.6346 -1.2708 -0.7592 1.6219 0.6879 -0.7823 -0.4824 0.6634 -1.2691 -0.8587 -0.5615 0.2485 0.5029 592.678 549.854 590.343
"7" 75600136 1 3 2 6 1 0.2641 1.6524 0.1956 1.8905 -1.4832 -0.6659 1.1625 -4.7131 -1.8598 -4.4106 -4.4553 -1.303 1.314 -0.6576 424.223 238.248 277.007
"8" 75600035 0 2 2 2 0 -1.7421 -1.272 -1.1741 -0.3288 0.7139 0.3332 -0.7823 -0.7366 -0.6541 0.2646 -0.3885 -1.4634 -0.0014 -1.58 482.537 426.022 380.128
"9" 75600006 1 1 2 6 0 2.6131 -1.272 0.7262 -1.1597 -0.8018 -0.3122 1.4721 2.4281 1.5465 1.1793 2.8492 1.9491 0.7628 1.0346 561.979 612.663 630.601
"11" 75600053 1 1 0 5 0 -0.7077 0.9672 -1.1146 -1.8939 -0.4684 -0.8971 0.7703 0.7423 -0.1932 1.1793 1.1956 0.6636 0.7015 1.0346 508.051 466.79 458.087
"12" 75600194 1 1 0 6 0 -1.9715 1.4885 -0.733 -0.9823 -0.0614 -0.5707 2.3772 0.2649 0.5645 1.1793 -0.282 0.0061 -0.3882 0.3622 456.153 329.199 400.558
"13" 75600130 0 1 2 5 0 -0.7637 0.2705 -0.6888 -0.2006 0.3444 -0.4415 -0.7823 0.9494 0.5835 -0.4903 1.0667 0.552 1.314 -1.0657 520.868 459.626 428.051
"15" 75600106 1 1 2 5 0 0.0127 0.2705 -0.733 0.8207 -1.0583 -0.9684 0.2907 -0.6634 -0.1725 -1.0527 -0.7152 -0.3136 -1.0266 1.0346 599.488 529.213 554.103
"16" 75600210 1 1 0 3 0 -0.9016 1.8743 -0.5707 -0.687 -0.0614 -0.7814 -0.7823 -0.2102 -1.2227 1.1793 -0.1351 -0.3977 -0.2023 1.0346 532.387 547.236 583.482
"18" 75600002 0 1 0 6 0 2.0787 -1.272 0.1956 1.8905 -1.0974 -0.9139 0.7703 0.4738 1.5465 -0.4903 -0.5536 0.9911 0.2485 -0.6439 594.684 642.548 678.546
"19" 75600109 0 2 2 5 0 -0.8176 0.2705 -0.733 1.8905 -1.321 -0.357 -0.7823 0.2901 0.1675 1.1793 0.1098 0.8038 -1.415 1.0346 564.178 489.593 408.222
"20" 75600054 1 1 0 5 0 -2.7114 -1.272 0.2653 -0.9823 -0.1097 2.7249 -0.7823 -0.0769 -0.6541 1.1793 0.5709 0.5789 -0.3971 1.0346 490.769 500.022 540.639
"23" 75600176 1 1 2 5 0 -0.8604 -1.272 -0.6888 -1.8939 -0.0614 0.6347 -0.7823 0.0485 -0.8414 -0.1357 1.0654 0.5685 1.314 1.0346 575.907 529.058 529.127
"24" 75600121 1 2 2 4 1 -1.793 0.2705 -0.9792 0.4637 -1.0721 -0.2979 1.4812 -1.2369 -1.8598 0.0477 -0.9911 -1.4151 1.314 -1.1847 396.317 402.688 311.408
"26" 75600024 1 1 2 5 0 -0.1904 -1.272 1.1811 0.4637 -0.0667 0.4581 -0.7823 0.1573 0.2269 0.1806 -0.4289 0.2444 0.7015 -1.3914 570.852 587.758 560.924
"29" 75600108 0 2 2 5 0 1.7513 -1.272 -0.9792 0.1097 -1.0974 -0.5732 -0.7823 -0.8035 -1.8107 -1.2622 -0.2699 0.2023 -0.0037 -0.6576 591.933 602.596 622.779
"32" 75600167 1 1 2 3 0 -1.0942 0.2705 2.0054 -0.9598 0.7396 1.1713 -0.7823 -0.6803 -1.8107 1.1793 -0.4829 -1.0703 0.7628 1.0346 512.428 525.249 483.152
"35" 75600129 1 2 2 2 0 -0.7413 0.8232 -0.2661 0.4637 -1.2865 -0.8138 0.2907 -0.4344 -1.8107 -1.0118 0.3372 -0.6145 -0.8998 0.6364 461.274 540.136 523.793
"36" 75600106 1 3 2 6 0 -0.3571 -0.8863 -0.733 -0.687 -0.4909 0.6347 -0.7823 -0.1818 -0.7415 1.1793 0.2939 -0.3866 0.039 -0.6576 591.147 590.358 489.041
