"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "math" "read" "scie"
"1" 27600143 0 1 0 4 0 2.6131 -1.272 -0.8705 -0.3799 0.3858 0.0928 -0.7823 -1.6474 -0.1094 -1.3835 -1.9715 -0.8215 0.7015 0.5029 584.978 560.331 591.108
"2" 27600107 1 1 0 6 0 -2.7114 -1.272 1.2643 -1.109 0.7877 1.4903 0.2907 0.1746 -1.3021 1.1793 0.767 -0.0321 -0.3262 -0.6576 487.714 455.599 493.185
"7" 27600137 1 2 0 0 1 -1.1798 -0.2888 -0.9792 -0.687 -0.5176 0.3241 0.7703 -0.6164 -0.1506 0.0477 -0.8656 -2.007 -0.5488 -1.7696 402.179 416.868 451.58
"9" 27600008 0 2 0 0 1 -0.007 1.6524 -0.2661 -0.2006 -1.2921 0.6818 -0.7823 -0.7871 -0.1314 0.0477 -0.9036 -2.4466 0.7628 -0.6576 313.638 430.755 368.19
"10" 27600086 1 1 0 5 0 1.1891 -1.272 -0.9792 -0.2006 -0.5325 -0.9306 -0.7823 1.8071 0.6471 1.1793 1.6369 1.0493 -0.9734 -1.0657 438.774 436.22 429.208
"11" 27600124 0 1 0 6 1 -0.4629 1.6524 1.2643 -0.4342 0.3438 -0.4217 -0.7823 0.6735 -0.1506 1.1793 0.8953 0.802 -0.1605 1.0346 434.954 544.52 439.313
"15" 27600036 0 1 0 6 0 0.7546 0.9672 0.1956 0.4637 -0.0614 0.3389 0.2907 2.4436 1.2928 1.1793 1.8472 1.888 -0.6965 1.0346 449.754 376.126 354.697
"16" 27600116 0 1 0 6 0 -1.384 -1.272 2.0054 -1.8939 2.3693 0.655 0.8233 0.1069 -0.8483 1.1793 0.6221 -0.0608 -0.5575 -2.4468 430.024 425.819 465.69
"17" 27600121 0 1 0 3 0 0.2694 -1.272 0.6314 -0.2006 -0.5176 -0.3184 0.1462 -0.3277 -0.3112 -0.1357 -0.254 -0.603 0.1694 1.0346 571.929 621.053 581.358
"19" 27600033 1 1 0 5 0 -0.2952 -1.272 2.0054 -1.8939 2.3693 2.7249 -0.7823 1.1918 1.2928 1.1793 0.6392 0.4711 -2.0248 1.0346 548.397 466.811 453.812
"20" 27600107 0 1 0 4 0 -1.7421 -1.272 0.1956 0.4637 0.8236 -0.0845 0.2907 -0.2045 -0.7953 0.0477 0.3449 -0.7031 -0.828 0.6402 479.786 442.188 481.543
"22" 27600224 0 2 2 2 0 -0.2704 0.2705 -0.6888 -0.9823 -0.0614 0.0348 3.8591 -0.5983 0.3486 0.0477 -1.0287 -0.9571 -0.7769 1.0346 368.528 329.828 369.972
"27" 27600053 1 1 0 5 0 -0.7826 -1.272 -0.4435 -0.3799 0.8016 -0.4509 -0.7823 0.7889 0.387 1.1793 1.0125 0.7264 0.2485 1.0346 459.168 385.737 408.837
"30" 27600116 1 1 0 6 1 -2.7114 0.2705 -0.6151 -1.8939 -0.8469 0.9683 -0.7823 -0.1954 0.1388 -0.1357 -0.6267 0.7879 -1.3345 0.3622 434.556 458.993 560.528
"35" 27600159 1 1 0 5 1 -0.0376 -0.7816 -0.2047 -1.8939 -0.4759 -0.5687 0.2308 -0.8731 -0.1628 -0.9191 -0.8689 -0.0179 -1.1176 0.2127 466.168 508.458 486.329
"39" 27600052 0 2 0 2 1 -0.9655 -1.272 2.0054 -0.3799 -1.2865 0.6576 -0.7823 -3.1872 -0.8483 -2.8259 -2.737 -2.7958 1.314 -2.4468 416.237 376.942 362.892
"42" 27600179 1 1 0 6 0 -0.5831 -0.2888 -1.2708 -0.9823 -0.4684 0.1353 1.1625 0.0476 -0.9553 -0.1357 0.7287 0.5613 -1.1481 -0.6576 580.061 511.378 537.701
"44" 27600160 1 1 0 6 1 -1.3158 1.6524 0.1956 -0.2006 -0.0614 0.6738 1.1928 1.1268 0.2665 1.1793 1.4119 0.7879 -1.8485 0.2169 442.433 426.295 415.163
"53" 27600119 1 1 0 4 1 -1.9715 -0.4021 2.0054 0.4637 -0.0614 1.4685 0.7841 1.9654 1.8366 1.1793 1.2931 0.1151 1.314 -1.292 494.317 517.736 536.976
"54" 27600160 0 1 0 6 1 0.0797 -1.272 -0.2047 -1.8939 -0.5536 0.3349 -0.7823 1.315 1.0047 -0.5668 1.1634 1.5978 -0.9422 1.0346 563.43 656.185 569.29
"57" 27600192 0 1 0 6 0 0.4627 -1.272 -0.5707 -0.2006 -0.0614 0.3349 0.2907 1.3278 1.8366 1.1793 0.6392 0.4559 -0.6262 1.0346 471.806 471.206 431.567
"63" 27600017 0 1 0 5 0 1.5482 -0.8863 -0.5707 0.052 -0.8579 -0.3184 -0.7823 0.4719 0.8761 -0.1357 -0.2056 0.4038 -0.3673 0.6402 611.752 586.722 605.143
"75" 27600065 1 1 0 6 0 0.1984 -1.272 0.7871 -0.9823 -0.0614 -1.186 2.0604 1.031 1.0047 1.1793 0.3942 0.9764 -0.1605 1.0346 604.1 517.328 606.623
"79" 27600102 1 1 0 4 0 0.3171 -1.272 1.1811 -0.7592 0.0018 0.3018 0.7703 0.8318 1.8366 -1.3525 0.6295 0.2683 1.314 0.2127 666.655 676.838 649.684
"81" 27600154 0 1 0 5 0 2.6131 -0.8863 1.1811 1.8905 -0.7993 -0.2062 -0.7823 0.6761 0.2095 -0.1357 0.9847 -0.0604 -1.7418 -1.1847 560.083 608.007 591.931
"82" 27600170 1 2 0 4 0 -0.8754 -1.272 0.992 -1.2792 -0.0614 0.6738 -0.7823 -0.9535 -1.8575 -1.0118 -0.287 -0.8679 -1.8485 -1.5824 480.242 414.521 421.361
"83" 27600072 1 1 0 6 1 -0.5972 -1.272 0.4352 -0.7592 -0.7679 -0.9728 1.8279 -0.2563 0.3982 -0.6853 -0.467 -0.4089 0.1274 0.6364 449.935 430.824 461.459
"84" 27600028 1 1 0 2 0 -1.9715 -1.272 0.6314 0.3335 -0.5176 0.1935 0.2907 -0.5021 -1.8575 -1.2793 0.7168 -0.4772 0.7628 1.0346 552.073 548.852 522.07
"85" 27600141 1 1 0 2 0 -1.9715 0.2705 0.3709 -0.687 0.4152 0.6818 -0.7823 0.094 -0.8483 -0.1357 0.8964 -1.2367 -0.7366 0.2127 473.892 460.354 494.16
"88" 27600080 1 1 0 3 0 -0.2284 -1.272 -0.2047 0.1097 -0.7906 0.3241 -0.7823 -0.6497 0.0543 -0.6853 -0.7917 -1.1189 0.039 -0.6576 645.617 577.481 697.915
"91" 27600018 1 1 0 4 0 0.4627 -0.6346 0.6314 -0.687 -0.0614 -1.0013 1.4721 0.3887 1.0047 1.1793 -0.1877 -0.0585 -0.2023 1.0346 440.167 447.445 450.084
"92" 27600057 1 2 3 2 0 -0.4262 1.1904 -0.9792 -1.0109 0.8496 0.9517 1.2618 -0.5365 -1.3021 -0.8947 -0.055 -1.5208 1.314 -1.0657 455.911 492.117 502.476
"97" 27600024 0 1 0 6 0 1.5998 -0.7816 -0.0591 -1.1597 1.1497 1.4326 -0.7823 1.4525 1.8366 1.1793 0.4218 1.0643 0.7628 1.0346 408.691 407.572 426.866
"99" 27600146 1 1 0 6 0 -0.9873 0.2705 1.1811 1.8905 1.6438 0.5159 -0.7823 0.2757 -0.9553 -0.5492 1.1814 0.7066 -0.3172 0.3586 463.13 451.302 420.398
"100" 27600079 1 1 0 4 0 -0.6483 0.2705 0.7871 -0.2006 -0.0614 0.6818 -0.7823 1.4434 0.7055 1.1793 0.9344 0.3021 0.4522 1.0346 604.053 514.63 513.28
"103" 27600021 0 2 2 6 1 2.0787 -1.272 0.849 1.8905 0.8496 -0.1008 0.2907 0.8626 0.6471 1.1793 0.0942 1.1389 -0.7366 0.2127 594.982 649.611 561.214
"106" 27600057 0 2 2 2 0 -0.6146 0.5206 -0.2047 -0.9295 -0.0614 2.7249 -0.7823 -1.1823 -1.3021 -0.6853 -1.1867 -1.8039 -0.3882 1.0346 390.58 388.78 329.673
"108" 27600007 1 1 0 6 1 -0.2584 -1.272 2.0054 -0.687 -0.8273 2.7249 -0.7823 -0.7939 -0.8483 -0.9177 -0.4209 0.3736 1.0786 1.0346 488.765 465.344 499.538
"117" 27600005 1 1 0 5 0 -0.3955 -0.7816 0.6314 -0.4939 2.3693 1.4326 -0.7823 1.235 0.4924 1.1793 1.3463 0.8743 -0.4377 1.0346 488.032 543.803 536.845
"119" 27600016 0 1 0 6 0 2.0787 -0.8863 -0.8279 1.8905 -1.5049 -0.0692 0.7703 1.0298 0.9187 -0.1357 0.5203 1.348 0.4394 -1.0657 627.804 713.492 677.241
"121" 27600206 0 1 0 4 0 2.6131 -1.272 0.2653 1.3423 0.7251 0.0638 -0.7823 0.1372 1.8366 -0.6853 -0.7613 -0.1649 -0.5575 -0.6576 649.951 604.39 626.972
"126" 27600001 1 2 0 6 0 -0.6483 1.2958 -0.2047 1.8905 -1.018 -0.5635 0.7703 1.0084 1.8366 1.1793 -0.0259 0.7826 -1.1481 -1.9687 589.367 554.387 583.956
"127" 27600010 0 1 0 2 0 -0.2406 0.7192 -0.6888 -0.687 -1.0974 0.3241 -0.7823 -1.3149 -0.8483 -1.0118 -1.0142 -1.2604 1.314 1.0346 323.483 394.019 435.75
"130" 27600124 1 1 0 4 0 -2.7114 -0.7816 -1.7664 -1.2792 -0.3032 -2.0909 0.2907 0.789 0.295 -0.1357 0.6553 0.5014 0.2485 -1.0657 529.655 480.683 512.47
"137" 27600053 1 1 0 4 1 -1.352 1.7867 0.7262 0.3335 0.8496 0.9303 0.2907 -0.0679 0.1388 -0.9191 -0.2238 -0.6066 -0.2327 1.0346 425.545 506.079 500.495
"138" 27600135 1 2 0 4 1 -1.4526 -1.272 -0.2661 -1.1597 0.0501 0.4829 -0.7823 -0.5136 -0.8483 1.1793 -0.7589 -0.2608 -1.5794 1.0346 463.638 454.099 507.092
"141" 27600014 0 1 0 5 0 -1.9715 -1.272 0.1956 -1.4869 1.6438 0.9517 0.7703 -1.05 -1.8575 -0.6853 -0.5922 -0.4776 -1.7803 1.0346 492.495 626.758 629.926
"142" 27600209 0 2 2 2 0 0.9011 0.7192 2.0054 1.8905 0.7877 -0.2098 0.1462 -0.5642 -0.568 1.1793 -0.5122 -0.4679 0.7628 1.0346 398.047 394.429 365.27
"146" 27600089 1 1 0 5 0 -0.2406 0.2705 0.1956 -0.13 -0.8738 0.9423 -0.7823 0.9487 0.4924 1.1793 0.7022 0.472 -0.2327 -0.6576 695.807 545.118 581.287
"152" 27600152 1 1 0 6 0 1.2316 -1.272 -0.5707 -1.2319 -0.4684 0.0623 -0.7823 1.0678 1.8366 1.1793 0.0522 1.3225 -0.9422 -1.0657 666.64 636.055 579.09
"156" 27600148 0 1 0 5 0 -0.9873 -1.272 0.1956 -0.4342 2.3693 1.4685 -0.7823 0.1807 -1.3021 1.1793 0.7931 0.2938 -0.3673 1.0346 486.239 583.348 580.5
"161" 27600044 1 1 0 6 0 -0.8407 -1.272 0.3709 -1.8939 0.4084 2.7249 -0.7823 1.005 1.8366 -0.1357 0.5008 1.2912 -0.7161 1.0346 622.97 586.99 643.253
"164" 27600091 1 1 0 2 1 -0.0254 -1.272 0.7871 -0.9823 0.4392 0.6653 0.8615 0.4838 -0.6961 -0.1357 0.7874 -0.7406 -0.3352 0.5029 578.199 607.121 635.262
