"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "math" "read" "scie"
"1" 72400855 1 1 0 5 0 0.2363 0.2705 -0.2661 -0.687 -0.0614 0.9303 -0.7823 0.9805 0.5143 0.1806 1.1129 0.5652 -0.0037 1.0346 552.038 536.226 558.237
"2" 72400416 0 1 0 5 1 0.2363 0.7192 -0.2047 0.1097 -0.9698 0.9683 -0.7823 0.9756 1.0094 1.1191 0.4386 0.0797 0.385 -0.6576 410.273 460.452 439.594
"3" 72400591 1 1 0 6 0 0.8628 0.8232 -0.5707 0.1097 -1.333 -0.6765 -0.7823 1.687 1.802 1.1793 0.8084 1.5646 -0.7366 -1.0657 548.429 553.613 628.46
"4" 72400738 1 1 0 6 1 -0.5972 1.2826 0.0113 -1.1597 -0.4951 1.4903 1.203 -0.4568 -0.3221 -0.5813 -0.112 -0.5303 0.1274 -1.5847 351.615 308.922 307.112
"6" 72400924 0 2 0 5 0 0.8628 -1.272 1.2643 1.0944 -0.0614 1.4685 -0.7823 -1.7631 -1.7521 -1.6618 -1.1111 -1.0919 -0.2023 -2.4468 659.046 732.366 683.239
"8" 72400176 1 3 3 1 1 -1.3214 1.1904 -0.6888 0.052 2.3693 -0.9694 0.7703 -0.5009 -0.5685 1.1793 -0.5869 -2.1195 -0.2023 -1.5847 388.245 279.047 401.93
"10" 72400204 1 1 0 6 0 -0.2704 0.7323 -0.2047 -0.2006 -0.0614 -0.4415 2.0987 0.3683 -0.1824 -0.1357 0.4669 0.6348 -0.2023 1.0346 493.816 525.093 516.217
"12" 72400240 0 1 0 6 0 0.1478 -0.6346 0.1956 -0.4342 1.5527 0.78 0.2308 0.6639 0.7064 -0.1357 0.4463 1.1741 1.314 -0.6576 494.206 551.425 521.493
"13" 72400648 1 1 0 2 0 -0.5992 0.2705 1.1811 -1.2792 -0.8273 0.6818 -0.7823 -0.0065 0.2457 -0.4903 -0.4386 -1.1815 1.314 -0.6576 517.57 522.124 562.101
"14" 72400539 1 1 0 6 0 -1.9715 -0.2888 2.0054 -0.7592 0.3858 1.4685 -0.7823 0.4047 0.0739 -0.6853 0.5223 1.1749 0.1694 -0.6576 521.424 478.786 540.759
"16" 72400266 0 1 0 6 1 1.7513 -1.272 -1.0881 0.8207 -1.0746 -1.0523 0.7703 -1.4169 -0.7075 -1.6618 -0.853 0.379 1.314 -1.5824 377.385 449.193 440.57
"18" 72400172 0 1 0 5 0 -0.745 -0.6346 -0.5707 0.4637 -0.0614 0.6268 -0.7823 0.0671 -0.1783 -0.5813 0.0453 0.3123 -1.0955 -1.1869 522.41 565.789 474.745
"19" 72400285 1 1 0 6 1 -1.795 -1.272 0.992 -1.8939 0.7872 2.7249 -0.7823 -0.9404 -1.7521 -0.6122 -0.4051 -0.5522 1.314 1.0346 431.86 404.723 398.104
"20" 72400832 1 1 0 6 0 -1.1285 0.2705 -0.2661 0.052 -0.4684 0.6818 0.2907 0.0727 0.5143 -1.0118 -0.1232 1.0344 -0.7769 0.2169 552.888 628.371 591.622
"23" 72400223 0 2 0 4 1 0.7942 0.2705 0.4352 1.4083 -1.1728 -0.8116 1.2618 0.5271 1.0094 -1.0118 0.7249 -0.5898 -1.3684 -1.8598 472.918 510.811 492.558
"25" 72400509 1 1 0 6 0 0.0977 0.2705 0.7871 -0.9823 -0.4684 0.9423 -0.7823 -0.128 -0.7075 0.0477 0.2618 -0.2981 0.1694 -1.0691 592.189 521.571 617.133
"26" 72400310 0 1 0 6 0 2.6131 1.1904 0.1956 1.8905 -1.3557 0.6818 -0.7823 -0.0408 0.1986 1.1793 -0.5485 -0.3205 -2.7106 0.6402 430.452 519.659 486.176
"27" 72400325 0 1 0 6 0 0.5046 0.2705 -0.2047 1.1422 1.0885 0.3241 0.2907 -0.38 -0.383 -0.1357 -0.1909 0.4292 0.4394 1.0346 558.102 504.908 552.722
"28" 72400297 0 1 0 5 0 -0.5959 1.0453 -0.9792 -0.4342 -0.8109 0.6818 -0.7823 -0.8772 -0.431 -1.3525 -0.6213 -0.6823 -1.3684 -0.6576 486.953 416.221 419.397
"29" 72400013 0 1 0 6 0 2.6131 -1.272 0.1956 1.1422 0.7396 -3.2367 -0.7823 0.4488 1.802 1.1793 -0.7116 1.1114 0.7015 1.0346 619.251 660.859 592.848
"30" 72400951 1 1 0 6 0 -0.6146 0.2705 0.1956 -0.687 0.5075 2.7249 0.8233 0.752 0.7064 1.1793 0.1915 1.3645 -1.6385 -0.6576 461.588 463.47 467.966
"31" 72400876 1 1 0 6 0 -0.0872 -0.2888 1.1811 0.4637 -0.8738 -0.0358 -0.7823 2.6793 1.802 1.1793 1.5658 2.1125 0.1597 0.2127 571.959 475.88 532.368
