"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "math" "read" "scie"
"1" 82600439 1 1 2 4 0 0.1499 1.2958 -0.2661 0.4637 -0.0614 -0.3184 0.7703 -0.486 0.1687 0.031 -0.5268 -1.0176 1.314 -0.6576 377.039 385.876 389
"2" 82600154 0 2 0 6 0 -0.2704 -1.272 0.1956 0.052 -0.4684 0.3241 -0.7823 1.7193 1.8498 1.1793 1.1574 1.5182 -0.2023 -2.4468 533.966 601.339 523.852
"3" 82600116 1 1 0 5 0 -0.7077 -1.272 1.2643 0.8207 0.4152 0.5166 0.7703 2.6164 1.8498 1.1793 1.9748 1.4588 -0.3172 -1.3914 595.003 528.737 676.533
"4" 82600217 0 1 2 6 0 2.6131 -1.272 -0.9792 -1.4242 -0.115 -1.1378 -0.7823 2.0046 1.8498 0.7604 1.2755 1.852 -0.2023 1.0346 564.202 515.597 514.493
"5" 82600409 1 2 0 6 0 -0.1672 -0.6346 2.0054 1.8905 -1.9537 -3.2367 -0.7823 1.3451 1.8498 1.1793 0.6332 1.2295 1.314 -1.06 541.979 587.268 620.576
"6" 82600321 1 3 2 6 0 0.2694 0.2705 2.0054 1.8905 -0.8926 -1.4007 2.3432 0.3115 0.1408 1.1793 0.3003 1.1732 -0.5973 -1.58 577.362 563.381 608.353
"7" 82600185 0 1 0 6 0 -1.0279 0.2705 -0.2661 -0.687 -0.9181 -0.8428 -0.7823 2.1141 1.8498 -0.1357 1.5989 1.226 -0.3971 -0.6576 616.317 626.209 566.285
"8" 82600163 1 1 0 6 0 0.4037 -1.272 2.0054 -1.109 1.6219 2.7249 -0.7823 -1.6377 -1.8434 -0.8947 -1.6472 -0.8658 0.2048 1.0346 609.586 610.337 507.209
"9" 82600104 0 1 0 6 0 -1.1538 0.2705 0.1956 0.4637 -1.2865 -0.6464 2.0327 1.0041 -0.2588 1.1793 1.1018 1.3464 -0.8998 1.0346 556.632 469.283 566.799
"10" 82600267 0 1 0 5 0 -0.9434 0.5206 -0.2661 0.4637 -0.0614 0.4581 -0.7823 -1.2733 -1.8434 -1.5216 -0.2509 -0.5008 -0.4082 0.2127 424.765 470.121 382.192
"11" 82600418 1 1 0 6 0 -0.9016 0.2705 0.411 -1.4869 0.3438 -0.0358 0.2308 1.3054 0.2817 1.1793 1.0825 1.2813 0.2048 1.0346 621.368 540.817 563.065
"12" 82600315 0 1 0 6 0 0.2694 0.2705 1.1811 0.8794 -0.8109 -0.6464 0.2907 1.8155 -0.1316 -0.3433 2.4038 1.3583 -0.2023 -0.6576 608.94 566.382 603.337
"13" 82600254 0 1 0 3 0 -0.2704 0.2705 -0.2047 0.4637 -0.0614 -0.4415 -0.7823 1.1064 0.6589 0.7604 1.3263 0.4872 1.314 -0.6576 480.895 469.128 465.493
"14" 82600433 1 3 2 6 0 0.1984 0.2705 0.1956 -1.8939 -0.0614 -0.3184 -0.7823 1.0238 -0.5869 1.1793 1.6027 1.0254 -0.0348 -0.6576 556.958 502.034 572.059
"15" 82600152 1 1 0 4 0 -0.5262 0.2705 0.1244 -0.4342 0.8021 -0.1808 1.1625 0.9514 -0.8559 1.1793 1.6628 -0.3859 -0.2023 -0.6576 443.941 485.505 435.181
"16" 82600332 0 1 2 6 0 0.638 0.2705 0.3709 0.1097 -0.0614 -0.3184 -0.7823 1.9485 0.7725 1.1793 2.4805 1.566 1.314 1.0346 538.065 533.55 528.46
"17" 82600267 0 1 0 4 0 0.3568 0.2705 -0.9792 -0.687 -0.0614 -0.6659 1.1625 0.2825 0.2139 -0.4396 0.4217 -0.8914 -0.2023 -0.6576 428.064 420.88 382.121
"19" 82600055 0 1 0 6 0 -2.7114 0.2705 2.0054 1.8905 0.7139 0.8801 -0.7823 2.0896 1.1114 1.1793 1.5892 1.6742 -1.7803 1.0346 498.136 484.046 479.08
"21" 82600067 0 1 0 5 0 -0.9016 0.2705 0.7871 0.4637 -0.8273 -0.4687 0.7703 0.3832 -0.0506 0.2646 0.847 0.1085 1.314 1.0346 417.775 439.771 374.237
"22" 82600341 1 1 0 6 0 1.5482 -1.272 -0.357 -1.8939 -0.0614 -0.51 -0.7823 0.6672 0.4764 -0.3792 0.4041 0.7382 1.314 1.0346 500.504 494.894 537.361
"23" 82600125 1 1 0 3 0 -0.0176 -0.6346 0.571 0.052 -0.8273 -0.3184 0.2907 -0.037 -1.8434 0.0477 0.7647 -0.3011 1.314 -1.0657 613.789 572.853 572.046
"24" 82600035 0 1 0 5 0 -0.917 0.9567 0.3709 0.855 -0.5176 0.1935 -0.7823 -0.682 0.0782 -1.0527 -0.4172 -0.5997 -0.7857 -0.6576 388.437 493.806 435.297
"25" 82600053 1 1 0 6 0 -1.9715 -1.272 2.0054 -1.1858 -0.0614 0.8801 -0.7823 0.9237 0.1338 1.1793 1.1276 0.7467 1.314 1.0346 351.939 357.194 306.421
"26" 82600123 1 1 0 6 0 -1.1538 0.2705 -0.2661 -0.3799 -1.0445 -0.5635 0.1462 -0.0441 -0.7847 0.0477 0.3594 0.8388 1.314 0.2169 471.394 544.368 464.855
"27" 82600367 0 1 0 6 0 0.3568 -1.272 -0.733 -0.4342 0.7396 0.0348 -0.7823 0.3092 -0.3833 1.1793 0.4103 0.4949 1.314 1.0346 571.233 569.018 559.658
"28" 82600244 0 1 0 4 0 -1.352 -0.7816 -1.7664 0.4637 -0.0614 -0.0845 -0.7823 -0.6144 -1.8434 -0.4396 0.0385 -0.0895 0.1597 1.0346 616.066 561.881 583.457
"29" 82600263 0 1 0 5 0 0.2694 0.2705 -0.2047 0.052 -0.0614 -0.5707 -0.7823 -0.198 -0.7847 -0.4396 0.3527 0.1203 1.314 -1.5824 587.53 593.708 533.454
"30" 82600073 1 1 0 6 0 -1.1538 1.2958 -0.2047 -0.3799 -0.5176 -0.4415 1.1625 -0.456 -0.9827 0.031 -0.1219 0.1139 -0.3971 1.0346 538.325 524.649 498.031
"31" 82600248 1 1 0 6 0 -1.9715 0.7192 -0.5707 0.4637 0.4793 0.0348 0.7703 -0.2388 -1.3625 1.1793 -0.0399 0.6895 0.385 0.5029 688.196 653.724 646.118
"32" 82600197 1 1 0 4 0 -0.6896 0.2705 0.571 -0.4342 -0.0614 0.6738 -0.7823 -0.8403 -0.3009 -1.0527 -0.1752 -0.4968 -1.1481 0.2169 463.308 496.453 457.133
"33" 82600263 1 1 0 3 0 1.3468 -0.8863 1.2643 0.4637 -0.8273 -0.763 0.2907 2.1785 1.8498 1.1793 1.2307 0.9722 0.385 1.0346 629.502 674.778 669.852
"35" 82600425 0 1 0 4 0 -0.7553 -0.7816 0.1956 -1.1858 0.7251 0.6818 -0.7823 -0.7728 -0.2588 0.0477 -0.8142 -1.141 1.314 0.2127 481.759 497.565 432.642
"36" 82600087 0 1 0 6 0 2.6131 0.2705 -0.5707 0.4637 -0.0614 0.3293 1.1928 0.9221 -0.3018 1.1793 0.6282 1.1808 1.314 0.2169 485.592 642.027 573.362
"37" 82600036 0 1 0 6 0 -1.2014 1.2958 0.7871 1.8905 1.1651 -1.0144 1.4721 0.8463 0.2817 0.0477 0.8838 1.1699 -1.6031 0.5029 477.269 440.829 455.883
"38" 82600208 1 1 0 6 0 -1.4882 -0.7816 0.1956 -0.687 -0.0614 -0.3184 0.1462 -0.3876 -1.8434 0.2646 -0.1117 0.6447 -0.9514 -0.6576 606.704 494.493 568.792
"40" 82600083 0 1 0 6 0 -0.1042 0.2705 0.1956 -0.3799 -0.0614 0.3018 -0.7823 0.2909 0.7725 0.0477 0.4221 0.8827 1.314 1.0346 495.098 466.046 468.701
"41" 82600076 0 1 0 3 0 -2.7114 3.0064 -2.345 -0.687 -0.0614 -0.5707 -0.7823 -1.9481 -1.8434 -1.6291 -0.9965 -1.3705 -1.8358 -0.6576 310.889 408.155 394.285
"42" 82600394 1 1 0 5 0 -0.5753 0.2705 0.1956 0.1097 -0.0614 -0.0358 0.1462 0.8577 -0.7486 1.1793 1.5119 0.834 -0.2023 -0.6576 471.985 438.972 409.044
"43" 82600270 1 1 0 6 0 -0.5753 0.2705 0.1956 -0.687 -0.7997 0.3241 -0.7823 0.4161 -1.0715 0.0477 0.9907 1.21 1.314 -0.6576 628.685 535.93 585.345
"44" 82600324 1 1 0 6 0 1.5998 -1.272 1.1811 -1.059 2.3693 2.7249 -0.7823 1.3063 1.1114 1.1793 0.3902 1.4234 1.314 1.0346 518.097 564.736 547.247
"45" 82600404 0 1 0 6 1 -1.1538 1.1904 -0.2661 -0.3009 -0.4684 -0.0751 -0.7823 1.6511 1.1114 1.1793 1.0065 1.3855 -1.3684 1.0346 505.66 496.316 483.59
"46" 82600322 1 1 0 3 0 -0.7215 0.8232 -0.9792 -0.3799 -0.0614 -0.763 -0.7823 -0.221 -0.9827 0.2646 0.0949 -0.5579 0.4394 0.6364 546.396 470.47 485.115
"47" 82600087 1 1 0 4 0 -0.5262 0.2705 -0.733 1.8905 -1.0746 -1.4649 1.1928 0.4448 -0.53 1.1793 0.4758 0.4008 -0.5488 0.2169 538.576 452.009 573.866
"48" 82600323 0 1 0 6 0 -1.4526 0.7323 0.1956 -0.687 0.4152 0.3018 0.2907 -1.3744 -0.3902 -1.7993 -0.6514 -0.7768 1.314 1.0346 492.377 513.038 480.574
"49" 82600242 1 1 0 6 0 -0.5262 -0.7816 2.0054 -1.4869 -0.9865 0.2243 1.2618 0.7125 -0.53 0.1806 1.5753 1.0573 0.4394 0.3657 545.237 539.138 506.042
"50" 82600346 0 3 2 6 0 0.1984 -1.272 0.6314 -0.9598 1.1497 -0.3184 0.7703 0.9256 1.1114 1.1793 0.5014 0.5152 1.314 1.0346 372.069 505.826 470.749
"51" 82600328 0 1 0 5 0 1.3468 0.7192 -2.345 -0.3799 -1.3068 -0.4415 1.5082 -0.1325 -0.8559 -1.1194 0.3522 -0.1097 1.314 -0.6576 445.004 401.879 420.721
