"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "math" "read" "scie"
"2" 38000204 0 1 2 6 0 2.6131 -1.272 2.0054 -0.687 2.3693 0.6246 -0.7823 1.616 1.4675 1.1793 0.3664 0.8707 -0.2023 1.0346 615.558 655.272 582.498
"4" 38000293 0 1 0 5 0 0.6934 -1.272 0.1956 -0.3799 -0.4909 -1.186 0.1462 0.4881 0.8419 1.1793 0.0043 0.4107 -0.4377 -1.2947 624.078 551.253 590.3
"5" 38000149 0 1 0 5 0 1.7513 -0.4021 1.2643 -0.9295 1.0615 0.1935 -0.7823 -0.34 -0.5948 0.0477 -0.0291 0.2077 0.481 -0.6576 399.374 447.386 444.587
"6" 38000397 1 1 0 6 0 0.4956 -1.272 2.0054 -0.687 2.3693 -0.8826 0.1462 -0.0572 0.1362 -0.1357 0.1108 1.0221 0.6259 1.0346 602.711 510.414 541.727
"7" 38000352 1 1 0 6 0 2.6131 0.2705 0.4978 0.8207 1.1262 0.6246 0.2308 0.4653 1.4675 1.1793 -0.5689 1.0009 -0.5575 1.0346 590.517 558.568 533.155
"8" 38000397 1 1 0 6 0 0.4627 -1.272 0.849 -1.8939 0.8021 -0.8186 -0.7823 0.1605 0.6842 0.1806 -0.4132 0.6091 0.3995 1.0346 687.201 617.36 541.739
"9" 38000315 1 1 1 3 1 0.9908 -0.2888 -2.345 0.176 -1.2868 -1.2605 -0.7823 -0.2985 -0.2239 -1.1248 0.113 -0.2965 -2.1007 -1.9687 427.868 224.761 369.221
"10" 38000469 1 1 0 5 0 0.1984 -1.272 -0.2661 0.052 0.8236 -0.8694 -0.7823 0.2049 0.8419 -0.1357 -0.2799 -0.4785 -0.3971 1.0346 490.108 463.858 417.674
"12" 38000173 0 1 1 2 0 1.5482 -0.2888 0.1956 -0.4342 -0.0614 0.4581 -0.7823 -0.1339 -1.8379 -0.1357 0.8175 -0.4921 -1.2301 -0.6576 427.778 482.194 523.859
"13" 38000094 0 1 2 4 0 -0.3253 -1.272 0.0385 -1.4869 1.0615 -1.2375 0.6725 -0.0322 -0.485 -0.1357 0.1809 -0.2583 0.7628 0.5029 629.06 616.279 592.354
"14" 38000430 1 1 0 6 0 0.2363 0.2705 0.1956 -0.687 -0.0614 -0.3184 -0.7823 0.4344 -0.3152 -0.1357 0.7141 0.9956 -0.0439 0.2127 384.565 406.695 362.404
"17" 38000508 0 1 0 6 0 1.0781 -1.272 -0.5707 -1.8939 0.3858 0.6818 -0.7823 0.9503 1.4675 1.1793 0.0285 1.176 0.3485 0.5029 598.743 620.116 599.151
"18" 38000008 1 1 0 6 0 -0.9016 0.9672 -0.6888 -0.2006 -1.0491 -0.5707 1.5082 -0.3073 -0.3152 -0.1357 -0.0611 0.8244 0.7015 -1.1847 384.097 271.268 295.424
