"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "math" "read" "scie"
"1" 75200020 1 1 0 4 0 -0.2704 -0.8863 -0.9792 -1.8939 -0.0614 -0.5635 -0.7823 0.6226 0.6472 1.1793 0.4032 -0.2009 -0.2023 0.2169 516.3 528.876 531.091
"3" 75200129 0 2 0 5 0 0.5452 0.2705 -0.8705 0.5949 -1.3068 -1.2608 -0.7823 -0.5258 -0.7441 -0.9302 0.1334 -1.0139 -0.2023 -1.3914 475.076 627.558 567.264
"4" 75200160 0 1 0 4 0 0.0631 0.2705 -0.8705 -0.687 -0.0614 0.3018 -0.7823 -0.5503 -1.8427 -0.4396 -0.0517 -0.8495 0.039 1.0346 534.104 452.871 497.118
"5" 75200060 0 1 0 6 0 0.2694 0.2705 -0.2661 -0.2006 -0.4909 0.9683 -0.7823 -0.4405 0.0528 1.1793 -1.0249 0.7231 -0.2023 -0.6576 566.435 640.46 591.204
"6" 75200095 0 1 0 6 0 1.7513 -1.272 -1.7664 -0.9823 0.7396 0.6818 -0.7823 0.8063 0.4551 0.0477 0.4221 0.1862 1.314 1.0346 590.525 633.223 594.134
"10" 75200207 0 1 0 6 0 0.2694 0.2705 0.1956 0.052 -0.0614 0.3018 -0.7823 1.3988 0.6472 1.1793 1.3318 1.1496 -0.3673 0.6364 633.043 647.99 702.437
"11" 75200205 1 1 0 6 0 1.0123 -1.272 2.0054 0.4637 1.1651 2.7249 -0.7823 1.281 0.8129 1.1793 0.9362 1.4444 0.385 0.6364 543.547 615.018 576.038
"13" 75200012 1 1 0 2 0 -1.793 2.2999 0.571 1.0671 0.4558 -0.2098 0.2907 0.1865 0.0983 0.0477 -0.0173 -1.1844 0.6259 -0.67 423.959 493.855 418.939
"14" 75200171 0 1 0 4 0 -0.2026 0.2705 -0.5707 -0.687 0.7877 0.6818 0.1462 0.3881 0.4961 0.6763 0.2901 -0.6141 1.314 -0.6576 462.029 535.017 430.577
"15" 75200193 1 1 0 5 0 -1.4526 0.2705 -0.733 -0.687 0.3444 -0.3184 -0.7823 0.223 -0.4983 0.1806 0.4285 0.7562 1.314 -0.6576 674.811 634.601 626.554
"16" 75200073 1 2 0 5 0 1.0166 -1.272 0.7262 -0.9823 -1.0259 0.0914 0.2907 -0.2328 -0.5849 -0.4903 -0.287 0.3247 0.3485 -1.5824 517.994 502.747 442.035
"17" 75200122 0 1 0 3 0 -0.1886 -0.6346 1.1811 -0.7592 1.111 0.6818 -0.7823 -0.9907 0.403 -1.0118 -1.4758 -1.2016 0.1924 -1.1847 621.296 610.466 542.536
"18" 75200012 0 1 0 6 0 -1.1538 0.2705 -0.2047 0.052 -0.5176 -0.4509 -0.7823 1.1151 1.1527 1.1793 0.8264 1.012 1.314 -0.6576 463.618 561.234 554.994
"19" 75200166 1 2 3 6 0 -1.4526 -0.6451 -0.2661 -0.3799 -0.1244 0.0963 0.7703 1.0226 0.2363 1.1793 1.1524 1.335 -0.0348 0.2169 506.857 578.438 583.567
"20" 75200146 1 1 0 5 0 0.638 -1.272 -0.9372 -0.4342 0.7877 2.7249 0.8615 0.1824 0.0528 -0.8947 0.6199 0.6906 1.314 0.2169 643.292 696.124 653.467
"21" 75200025 0 2 0 6 0 1.2316 0.2705 -0.2661 -1.2319 0.3444 -0.4415 -0.7823 1.8502 1.6414 0.0477 1.7009 1.2209 -0.3971 -0.6576 558.908 547.985 542.843
"22" 75200005 0 1 0 6 0 -1.0391 0.9567 -2.345 -1.1858 -1.4832 -1.1224 0.2907 0.3226 0.4551 -0.9779 0.3579 -0.0045 1.314 -0.6576 520.215 480.014 527.572
"23" 75200113 0 1 0 4 0 -1.9715 0.2705 -0.9792 0.4637 -1.5283 -0.9364 0.6725 -0.5076 -0.5849 -1.1443 -0.1201 -0.3661 -1.555 -1.5824 445.904 446.518 462.254
"24" 75200183 0 1 0 2 0 0.0127 1.2958 -0.5707 0.052 -0.5176 -0.3184 -0.7823 1.0301 -0.0182 1.1793 1.547 0.0253 1.314 -0.6576 451.83 524.083 519.802
"25" 75200082 0 1 0 6 0 -1.1538 0.2705 -0.2047 -0.13 -0.0614 0.9423 -0.7823 -0.0046 -0.1364 -0.8243 0.416 0.6926 -0.2023 1.0346 432.632 509.456 405.425
"27" 75200209 1 1 0 4 0 -0.0872 0.2705 0.7871 0.4637 0.0157 -0.3184 1.5082 -1.537 0.0528 -0.3487 -2.5834 -1.1066 0.7015 -0.6576 504.434 557.378 534.999
"28" 75200085 0 3 3 6 0 2.6131 -1.272 1.2643 0.6556 0.7396 0.6818 -0.7823 1.3638 2.0538 0.7604 1.0094 -1.007 -1.415 1.0346 563.975 581.696 472.254
"29" 75200228 0 3 0 4 1 0.6025 0.2705 -2.345 0.4637 2.3693 0.6344 0.2907 -0.0227 -0.0465 -0.6853 0.4582 -0.7215 -1.6637 1.0346 365.922 369.956 323.466
