"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"school_changes";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav"
5600001;0;2;5;1;-0.3799;-0.4415;0.2907;0.1755;-1.8696;1.1793;0.5116;-0.2227;-0.5973;1.0346;1;250;200;100;431.747;483.288;411.051;18;9.9652;-0.0703;-0.3163;0.7671;0.6274
5600001;0;0;6;1;-0.687;0.9683;-0.7823;0.7325;-0.1552;0.7604;1.153;0.7811;-0.0037;1.0346;0;150;200;200;513.486;493.619;550.462;18;9.9652;-0.0703;-0.3163;0.7671;0.6274
5600001;0;0;5;0;-0.687;-1.3271;-0.7823;-0.4748;-0.2704;-1.0118;-0.303;-0.3866;-0.2023;-1.292;0;200;200;100;524.054;610.808;609.177;18;9.9652;-0.0703;-0.3163;0.7671;0.6274
5600001;0;0;6;0;0.4637;0.3241;-0.7823;-0.0337;-0.1552;-0.1357;0.1783;-0.3508;-0.1605;-1.1847;0;150;200;300;393.4;504.125;366.683;18;9.9652;-0.0703;-0.3163;0.7671;0.6274
5600001;0;2;5;1;-0.687;0.6818;-0.7823;0.365;0.1453;-0.1357;0.561;-0.3012;-0.3584;0.2127;1;110;110;0;291.568;342.304;328.418;18;9.9652;-0.0703;-0.3163;0.7671;0.6274
5600001;1;0;5;1;-0.2006;-0.4509;0.7703;0.2231;-0.7708;-0.1357;0.892;-0.3824;-0.1298;-0.6576;1;200;200;100;514.1;522.684;578.608;18;9.9652;-0.0703;-0.3163;0.7671;0.6274
5600001;1;0;4;0;-1.8939;-0.3184;0.2907;-0.853;-1.8696;-0.9191;-0.1781;-1.175;0.039;-0.6576;0;200;200;100;582.85;558.471;643.389;18;9.9652;-0.0703;-0.3163;0.7671;0.6274
5600008;1;3;6;1;-0.4342;-0.3184;1.2327;0.2573;-0.2704;-1.0118;1.1108;0.9207;-0.2023;-0.6576;0;200;200;150;526.076;449.784;487.81;23;13.3333;-1.4212;-1.4551;0.7754;0.8468
5600008;0;0;6;0;-0.3799;0.9423;-0.7823;1.5508;1.1392;1.1793;1.1207;0.8986;0.4522;1.0346;0;200;200;150;605.058;546.089;575.019;23;13.3333;-1.4212;-1.4551;0.7754;0.8468
5600008;1;2;6;1;1.1422;-0.4687;1.1928;1.2906;1.8415;0.0477;0.5157;1.4944;-0.4377;-0.6576;2;250;200;150;492.401;477.34;585.193;23;13.3333;-1.4212;-1.4551;0.7754;0.8468
5600008;1;0;6;0;-0.4342;-0.9836;-0.7823;0.5625;0.3153;0.0477;0.1556;1.2313;-0.1605;-0.6576;0;200;200;300;674.806;650.371;727.17;23;13.3333;-1.4212;-1.4551;0.7754;0.8468
5600008;1;0;6;0;0.1097;0.4846;0.7703;1.195;0.4713;1.1793;1.2889;1.1226;-0.3673;-0.6576;1;200;200;150;621.993;700.277;724.855;23;13.3333;-1.4212;-1.4551;0.7754;0.8468
5600008;0;0;4;0;-1.1597;-0.3184;0.1462;0.7046;1.3903;0.0477;-0.1337;-0.5104;0.1694;0.2127;0;200;250;150;643.092;648.247;563.309;23;13.3333;-1.4212;-1.4551;0.7754;0.8468
