"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"school_changes";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav";"teach_multicult"
27600002;1;0;2;0;-0.9295;0.3173;-0.7823;-0.9144;-0.3112;-0.1357;-0.9388;-0.9171;-0.9734;0.2127;0;180;135;90;544.671;513.012;476.601;18;16.4158;0.6221;0.1964;-0.1522;0.5642;-1.0542
27600003;1;2;6;1;-1.8939;0.9264;0.7294;0.8347;1.0047;1.1793;0.5472;0.2472;-2.0248;-1.1847;0;180;180;90;374.937;430.136;482.453;28;15.3517;0.8006;0.2833;0.8153;-0.5173;0.9042
27600005;0;2;2;0;-1.4869;1.4685;-0.7823;-1.0883;-0.8483;-1.0118;-0.6797;-1.887;-0.0037;0.6364;0;180;180;225;443.246;456.909;368.241;28;18.4444;-1.4212;-1.4551;-0.0384;0.6015;0.9042
27600005;1;0;6;0;1.1422;2.7249;-0.7823;0.9486;1.2928;1.1793;0.6553;1.2132;0.3995;1.0346;0;180;180;180;473.825;491.477;472.861;28;18.4444;-1.4212;-1.4551;-0.0384;0.6015;0.9042
27600006;1;0;6;0;-1.059;1.4326;-0.7823;-0.6467;-0.5844;0.2646;-0.667;-0.0886;-0.5575;1.0346;1;360;360;360;608.043;655.575;618.987;23;17.0714;1.2478;-0.614;-0.1692;1.1913;-1.0542
27600007;0;3;6;0;0.4637;-0.1858;0.2907;1.9384;0.9187;1.1793;1.226;1.6862;-0.7074;0.2127;0;200;250;250;592.497;581.85;587.087;23;12.3288;0.8339;0.592;-0.335;-0.5582;0.9042
27600007;1;3;6;0;-1.2792;1.4326;-0.7823;0.5006;0.5018;1.1793;0.3552;1.0025;1.314;1.0346;0;250;250;200;572.809;545.821;507.511;23;12.3288;0.8339;0.592;-0.335;-0.5582;0.9042
27600007;1;2;6;0;-1.8939;0.3241;-0.7823;0.2629;0.545;-0.6853;0.139;1.0044;-1.464;0.5029;0;180;180;360;597.568;606.938;577.428;23;12.3288;0.8339;0.592;-0.335;-0.5582;0.9042
27600007;1;2;4;0;-1.059;1.4903;-0.7823;0.5517;0.387;-0.1357;0.4751;0.3828;0.039;-1.0657;0;180;180;360;650.771;629.467;625.146;23;12.3288;0.8339;0.592;-0.335;-0.5582;0.9042
27600007;0;0;6;0;1.8905;-0.3184;-0.7823;0.947;1.0047;-0.1357;0.4969;1.1746;-0.7074;1.0346;0;180;180;180;649.16;772.853;716.096;23;12.3288;0.8339;0.592;-0.335;-0.5582;0.9042
27600007;1;0;6;0;-0.687;0.9517;-0.7823;0.3;-0.1094;1.1793;0.2008;0.9928;1.314;0.3622;1;180;180;180;648.99;657.45;609.215;23;12.3288;0.8339;0.592;-0.335;-0.5582;0.9042
27600007;0;3;0;0;-0.6133;-0.5635;-0.7823;-0.131;0.533;-0.1357;-0.9138;-1.7356;-1.1864;1.0346;0;180;225;225;552.562;520.189;596.001;23;12.3288;0.8339;0.592;-0.335;-0.5582;0.9042
27600008;0;0;0;1;-0.2006;0.6818;-0.7823;-0.7871;-0.1314;0.0477;-0.9036;-2.4466;0.7628;-0.6576;1;225;180;180;313.638;430.755;368.19;23;11.1717;2.1861;0.4487;-0.5654;-0.4321;-0.1764
27600008;1;2;0;1;-0.687;0.0348;-0.7823;-2.8738;-1.8575;-2.0089;-2.4884;-4.1061;-1.2638;-0.6576;2;180;180;135;361.963;300.817;310.031;23;11.1717;2.1861;0.4487;-0.5654;-0.4321;-0.1764
27600010;1;0;0;1;-0.2006;0.9303;-0.7823;-0.9922;-0.1314;-0.9779;-0.7487;-2.6274;-0.5575;1.0346;0;315;315;180;258.407;395.591;314.014;28;15.8621;0.5916;1.2805;0.9106;1.4277;-1.0542
27600010;1;0;4;1;-1.4869;2.7249;-0.7823;1.4171;0.295;1.1793;2.7562;0.4754;1.314;1.0346;1;180;270;135;287.249;355.711;385.204;28;15.8621;0.5916;1.2805;0.9106;1.4277;-1.0542
27600011;0;2;6;0;-1.059;0.6818;-0.7823;0.0032;0.3329;-0.6853;-0.2978;0.9108;-0.0037;1.0346;0;135;135;270;615.769;578.031;625.566;28;14.672;0.1;0.0055;-0.3925;-0.1662;0.9042
27600014;0;3;2;0;-1.4242;0.3084;-0.7823;-2.487;-0.8483;-1.3023;-2.5719;-2.2312;0.2148;1.0346;1;180;180;90;431.923;497.873;479.083;23;11.9765;0.7566;0.6798;1.0522;-0.5582;0.9042
27600015;0;0;3;0;-0.9295;0.6818;-0.7823;-0.9331;-1.8575;-0.1667;-0.5038;-1.1413;0.039;-0.6576;0;360;360;180;439.577;550.315;544.234;23;18.0098;-0.0672;0.4487;-0.0384;0.2266;-1.0542
27600017;1;0;6;0;-0.13;-0.1136;1.1928;0.618;-0.2432;0.1806;1.1903;1.1274;-0.5886;-1.1869;0;135;135;405;659.121;617.086;652.358;28;15.2414;0.4698;-0.4314;-0.0468;0.7157;0.3009
27600018;1;0;3;0;-0.13;-0.9879;2.0604;0.5952;-0.0024;0.0477;1.1903;0.0289;-1.1481;-1.5824;1;0;140;0;465.13;355.451;355.221;23;25.6545;0.2681;0.8371;0.4651;1.4554;-0.4859
27600018;1;2;2;0;1.4083;2.7249;-0.7823;0.0846;-0.8483;-1.0118;2.0746;-1.2677;0.7628;0.6402;1;240;240;240;416.925;384.121;331.067;23;25.6545;0.2681;0.8371;0.4651;1.4554;-0.4859
27600021;0;2;6;0;-0.4342;-0.4415;1.4721;0.55;1.8366;-0.1357;-0.3526;0.8496;-1.5447;0.6402;0;225;180;315;556.519;675.928;670.526;33;10.274;-0.4873;0.0131;-0.0384;-0.0452;-0.4859
