"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"school_changes";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav"
20800001;0;0;6;0;0.052;0.6862;-0.7823;0.7148;0.7448;1.1793;0.6844;0.8925;0.7628;1.0346;1;540;540;270;529;554.579;520.353;23;15.7833;-0.2805;0.43;0.1945;-0.5968
20800001;0;2;5;0;0.4637;-0.5635;0.2907;0.0408;-0.0044;1.1793;-0.3192;-0.3475;0.7015;1.0346;1;225;315;180;566.391;553.757;551.982;23;15.7833;-0.2805;0.43;0.1945;-0.5968
20800007;1;0;3;0;-0.687;-0.1562;-0.7823;-1.4366;-1.8222;-0.9779;0.0962;-1.2053;0.385;-1.5824;0;240;420;240;480.135;474.776;462.123;23;10.5088;-1.4212;0.43;1.0522;0.1104
20800007;0;0;6;0;0.1097;-0.3122;-0.7823;-0.8652;-0.7352;-1.3873;0.7242;0.3359;-0.1667;0.3622;1;300;360;120;353.006;359.715;374.036;23;10.5088;-1.4212;0.43;1.0522;0.1104
20800009;0;2;6;0;1.8905;-0.7564;-0.7823;-0.0995;0.2856;-1.5532;0.263;0.9449;1.314;1.0346;2;240;300;240;521.959;451.87;420.227;23;17.3247;-0.2376;-0.5869;-0.335;0.4436
20800012;1;2;2;0;-0.687;0.0348;-0.7823;-1.3448;-1.8222;0.0477;-0.73;-1.9408;-0.1206;-0.6576;1;240;360;240;524.541;397.553;448.839;28;15.8667;0.5916;-1.4551;-0.713;-0.3064
20800012;1;2;0;0;0.4637;0.1008;0.1462;-0.7306;0.2754;1.1793;-0.4961;-2.7181;0.1597;0.3622;2;150;150;75;359.907;358.119;262.802;28;15.8667;0.5916;-1.4551;-0.713;-0.3064
20800013;0;0;6;0;0.052;-0.2062;1.1928;-0.3743;-0.3465;0.2646;0.0473;0.6321;-0.5973;1.0346;0;240;360;240;327.234;435.002;368.07;18;11.3696;-1.4212;-1.4551;1.0522;-0.9463
20800013;0;0;4;0;0.1097;-0.3184;-0.7823;0.5897;0.4657;1.1793;0.8668;0.4658;0.298;1.0346;0;360;405;180;509.847;546.893;510.802;18;11.3696;-1.4212;-1.4551;1.0522;-0.9463
20800015;0;2;6;0;-1.8939;-1.2605;-0.7823;-1.404;-1.8222;1.1793;-0.6077;-0.7353;-2.7106;-2.4468;2;0;405;315;412.22;356.019;341.899;23;17.358;-1.4212;0.8371;-0.0384;-1.0472
20800017;1;0;6;0;-1.2319;-0.8449;-0.7823;-0.1214;0.3984;-0.3792;0.0489;0.4197;-1.017;-1.58;0;180;360;270;442.326;405.057;404.687;23;16.359;-0.2805;1.2238;0.6482;0.1104
20800024;1;2;6;0;0.4637;-1.0823;1.203;-0.4086;-1.8222;-0.8243;1.5193;0.273;-1.7418;-0.6576;0;600;600;360;437.916;330.742;423.2;23;12.3026;-1.4212;-0.0879;0.8544;0.4365
20800024;0;0;4;0;0.4637;-0.4415;-0.7823;-0.4014;-0.5184;-0.4903;0.223;-0.8817;-0.2023;-0.6576;1;400;480;480;535.08;497.725;496.162;23;12.3026;-1.4212;-0.0879;0.8544;0.4365
20800024;1;2;2;0;-1.8939;0.9782;-0.7823;-1.286;-1.8222;0.0477;-0.0363;-2.0007;-1.3684;-0.6576;0;240;360;240;479.712;481.353;454.548;23;12.3026;-1.4212;-0.0879;0.8544;0.4365
20800024;0;0;1;0;0.052;-0.0939;-0.7823;-0.6491;-0.8391;0.0477;-0.1604;-2.2558;1.314;-0.6576;0;240;360;300;654.566;683.458;643.709;23;12.3026;-1.4212;-0.0879;0.8544;0.4365
20800025;0;2;5;0;0.052;-0.0939;-0.7823;-0.6888;-1.8222;0.0477;0.3113;-0.7047;0.4394;-1.1847;0;225;315;225;469.063;499.087;528.306;18;14.9398;0.4292;0.5116;0.6058;0.1104
20800025;0;2;6;0;-1.8939;0.9517;-0.7823;-0.8886;-1.8222;-0.8243;0.9061;0.3185;1.314;1.0346;0;225;315;225;501.444;501.039;538.059;18;14.9398;0.4292;0.5116;0.6058;0.1104
20800025;0;2;6;0;0.8794;0.6738;0.2907;-0.0842;-1.2045;1.1793;0.7379;1.0057;1.314;1.0346;0;225;315;225;543.845;491.531;455.987;18;14.9398;0.4292;0.5116;0.6058;0.1104
20800025;0;2;6;1;0.4637;0.9683;-0.7823;-0.7419;-0.6853;0.0477;0.4394;-0.3762;-0.013;1.0346;2;180;225;180;427.285;404.244;447.598;18;14.9398;0.4292;0.5116;0.6058;0.1104
20800026;1;2;6;0;-0.3799;-0.7535;0.2907;-0.1211;-0.2562;1.1793;0.8184;0.7746;0.7015;-0.6576;1;315;315;135;561.319;466.004;574.205;23;13.1795;-0.6884;0.43;-0.0384;0.7062
20800029;1;2;3;0;-1.4869;-3.2367;-0.7823;-0.3333;-0.6853;1.1793;0.3616;-0.4644;-0.0348;1.0346;2;225;300;300;581.731;648.415;641.769;18;11.0297;0.4591;-0.3265;-0.0956;-0.1698
20800030;1;0;4;0;0.4637;-0.5635;1.1928;-0.8094;-1.8222;1.1793;0.1024;-1.2341;0.2048;-0.6576;0;240;300;240;465.194;507.341;520.526;18;14.0351;1.0283;0.1671;0.0402;-0.1439
20800031;1;2;6;0;-1.8939;0.9423;0.2907;1.446;1.0528;1.1793;0.9649;1.5241;-2.0248;1.0346;2;270;270;180;663.068;621.14;633.992;23;15.2985;-0.6884;-1.4551;-0.7444;0.1104
20800039;0;2;2;0;-0.1558;-0.0568;-0.7823;-0.1505;-1.2045;-0.4903;1.6322;-1.323;0.1597;1.0346;0;225;225;135;488.909;488.895;497.82;18;11.697;1.6863;0.6736;-0.1936;0.1104
20800039;1;0;5;0;-0.687;0.9303;1.5346;-0.2108;-0.1956;0.1806;0.2001;0.1147;1.314;-1.7671;1;225;315;225;565.84;503.094;474.742;18;11.697;1.6863;0.6736;-0.1936;0.1104
20800039;1;0;1;0;0.1097;0.6818;-0.7823;-0.352;-1.8222;-0.4903;0.6988;-1.9248;-0.2023;-0.6576;0;300;420;360;418.22;364.442;246.891;18;11.697;1.6863;0.6736;-0.1936;0.1104
20800042;0;0;4;0;0.1097;-0.1903;0.7703;-0.7573;0.5011;-1.2049;-0.4351;-1.2865;0.1694;-1.0657;1;240;300;120;413.457;447.548;471.382;23;8.8286;-1.4212;-1.4551;0.8544;-0.3064
20800042;0;2;0;0;0.1097;-0.6686;0.7703;-0.1634;0.8184;-0.7806;-0.2365;-2.478;0.1694;0.2127;0;240;300;120;389.218;331.483;335.833;23;8.8286;-1.4212;-1.4551;0.8544;-0.3064
20800042;0;2;6;0;-0.4342;-0.1769;1.4721;-1.9399;-0.6853;1.1793;-1.4944;-1.1457;0.7628;1.0346;0;220;275;275;465.661;420.122;397.3;23;8.8286;-1.4212;-1.4551;0.8544;-0.3064
20800045;1;0;5;0;-1.8939;0.6818;-0.7823;-0.5975;-1.8222;-0.4903;0.6478;-0.0222;-0.3673;-0.6576;0;270;360;180;550.533;525.692;505.916;23;10.3119;0.6221;-0.7828;1.418;1.1096
20800045;1;0;6;0;0.8794;0.1766;-0.7823;1.1949;0.5861;1.1793;1.2657;1.4179;-2.7106;-0.6576;2;720;1080;360;344.087;338.828;350.486;23;10.3119;0.6221;-0.7828;1.418;1.1096
20800045;1;2;5;1;-1.8939;2.7249;0.2907;0.7687;0.8489;1.1793;0.4723;0.0284;0.4394;1.0346;0;960;1200;240;423.265;430.414;361.939;23;10.3119;0.6221;-0.7828;1.418;1.1096
20800045;1;2;2;1;-0.687;0.3018;0.7703;-1.8317;-1.8222;-1.3873;-0.7825;-2.2222;-0.4377;-1.3914;1;360;450;270;517.422;424.658;392.385;23;10.3119;0.6221;-0.7828;1.418;1.1096
20800045;0;2;4;0;1.4083;-0.9165;0.8233;-0.4521;-0.3465;-1.0118;0.2815;-0.9032;-1.3684;-1.5824;0;380;570;285;486.396;409.986;442.518;23;10.3119;0.6221;-0.7828;1.418;1.1096
20800046;1;0;6;0;0.4637;0.1614;0.8233;1.9075;1.2462;0.2646;1.884;1.6112;1.314;1.0346;0;330;385;275;443.542;427.718;431.496;23;13.4545;0.1312;-0.5869;0.6058;-0.7119
20800046;0;2;6;1;1.8905;-0.2881;1.8633;-0.6199;-0.2562;-0.4396;0.5049;-0.4953;-0.2023;1.0346;1;160;160;120;338.565;327.737;398.163;23;13.4545;0.1312;-0.5869;0.6058;-0.7119
20800051;1;0;6;0;-0.3799;-0.2799;0.2907;-1.6407;-1.8222;-0.4396;-1.0904;-0.1023;0.1274;-0.6576;2;225;225;180;458.614;424.311;457.85;18;11.9412;-1.4212;-1.4551;-0.0956;-0.5872
20800051;0;0;2;0;-0.2006;2.7249;-0.7823;0.3632;-0.2917;1.1793;2.1066;-0.7817;0.6259;1.0346;2;450;540;450;367.305;424.413;357.144;18;11.9412;-1.4212;-1.4551;-0.0956;-0.5872
20800051;0;0;2;0;0.1097;-0.3184;-0.7823;-1.3065;-1.8222;0.0477;-0.4041;-1.9894;1.314;-0.6576;1;225;270;225;427.396;432.873;438.599;18;11.9412;-1.4212;-1.4551;-0.0956;-0.5872
20800055;1;0;6;0;-0.687;2.7249;-0.7823;0.7329;0.1582;0.1806;1.6469;1.2124;-0.4377;1.0346;1;180;270;135;638.88;687.615;630.684;23;14.9787;-1.4212;-1.4551;0.2268;0.7083
20800056;0;0;6;0;0.4637;-0.6693;0.7703;1.8635;1.0528;1.1793;1.5197;1.7673;-0.2327;0.6402;1;225;315;180;563.091;580.769;588.267;23;13;0.265;-0.7828;-0.0318;-0.7532
20800056;0;0;6;0;1.8905;0.2243;0.7703;0.406;0.9378;-0.3792;0.1142;1.0424;0.1597;-0.6576;0;225;315;180;434.579;512.565;354.527;23;13;0.265;-0.7828;-0.0318;-0.7532
20800058;0;2;6;0;0.052;0.1935;-0.7823;-0.6393;-1.8222;-1.1443;1.0288;-0.4391;-0.2023;-0.6576;1;180;225;135;498.527;422.634;337.636;23;13.1429;-1.4212;-0.7828;0.0321;-0.9463
20800058;1;2;6;0;-1.8939;0.9517;-0.7823;-0.0702;-0.8391;0.0477;0.496;-0.3663;-0.2023;-0.6576;1;270;360;135;438.918;396.843;441.854;23;13.1429;-1.4212;-0.7828;0.0321;-0.9463
