"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"school_changes";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav";"teach_multicult"
72400001;1;0;6;1;-0.2006;0.6818;-0.7823;0.0965;0.3171;-1.0118;0.107;-0.0156;0.7628;-1.3939;1;220;220;165;417.682;459.361;511.643;28;1.2;1.0283;1.0953;-0.6266;-0.1274;-0.1868
72400001;0;0;6;0;-0.4342;-0.5635;0.1462;0.4967;0.0739;-0.1357;0.7249;1.0677;0.6259;1.0346;0;200;200;0;489.76;546.725;447.526;28;1.2;1.0283;1.0953;-0.6266;-0.1274;-0.1868
72400001;0;0;4;1;-1.8939;0.6713;0.2907;-0.3765;0.1817;-0.4884;-0.4704;-1.0192;1.314;-0.6576;0;220;275;165;403.656;507.061;482.383;28;1.2;1.0283;1.0953;-0.6266;-0.1274;-0.1868
72400001;1;0;5;0;-1.8939;0.8801;-0.7823;-0.7234;0.7064;-1.0752;-0.8652;-0.6031;1.314;1.0346;0;240;240;180;536.978;585.025;560.244;28;1.2;1.0283;1.0953;-0.6266;-0.1274;-0.1868
72400001;1;0;6;0;-1.4869;1.4685;-0.7823;0.4852;0.7064;-0.1357;-0.0413;0.5265;1.314;1.0346;0;240;240;360;585.573;631.936;668.897;28;1.2;1.0283;1.0953;-0.6266;-0.1274;-0.1868
72400001;0;0;5;1;0.052;-0.3184;-0.7823;-1.1777;-0.9597;-1.6618;-0.3432;0.0729;-0.0348;-1.3914;0;220;220;330;401.733;527.861;456.03;28;1.2;1.0283;1.0953;-0.6266;-0.1274;-0.1868
72400001;1;0;2;1;-0.9295;0.6818;-0.7823;-0.4763;0.1986;-1.0118;-0.3947;-1.3837;-0.2023;1.0346;2;240;300;180;265.173;365.137;269.582;28;1.2;1.0283;1.0953;-0.6266;-0.1274;-0.1868
72400002;0;0;6;1;-0.687;-0.4509;-0.7823;0.1145;-0.677;0.0477;0.7249;-0.2881;1.314;1.0346;0;480;480;360;388.364;415.404;405.696;23;7.6379;0.0686;0.43;0.5078;1.1612;0.9042
72400002;0;0;5;1;1.0671;0.6818;-0.7823;-2.3478;-1.7521;-1.5971;-1.7303;-1.4026;-0.9734;0.2127;1;220;220;165;312.204;237.912;283.433;23;7.6379;0.0686;0.43;0.5078;1.1612;0.9042
72400002;0;0;4;0;0.4637;0.6818;-0.7823;-0.4042;0.1758;-0.6853;-0.5726;-1.1371;1.314;1.0346;1;200;200;0;514.535;536.881;460.767;23;7.6379;0.0686;0.43;0.5078;1.1612;0.9042
72400002;0;0;6;1;0.1097;0.3018;-0.7823;-1.5314;-0.2825;-0.1357;-1.6941;-0.7103;-0.3971;-0.6576;2;165;165;165;477.447;452.915;413.832;23;7.6379;0.0686;0.43;0.5078;1.1612;0.9042
72400002;1;0;5;1;-1.8939;0.6818;-0.7823;-0.9207;-0.9597;-0.4903;-0.6935;-2.6149;1.314;-0.6576;1;220;220;330;340.928;272.864;381.082;23;7.6379;0.0686;0.43;0.5078;1.1612;0.9042
