"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"school_changes";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav"
82600001;0;2;6;0;-0.687;-0.6659;-0.7823;1.052;0.7725;0.7604;0.4645;0.7521;1.314;1.0346;0;165;165;220;310.346;320.935;302.523;23;15.8053;0.265;-0.3163;-0.0384;0.5642
82600007;1;0;6;0;-0.2006;0.0348;0.2907;-0.0563;0.7725;1.1793;-0.5058;0.6365;0.4394;0.2169;1;200;250;300;486.446;461.187;585.885;28;16.0923;0.1;1.4395;0.735;1.8947
82600018;0;0;5;0;0.8794;-1.2589;-0.7823;-1.1716;-0.7847;-0.8532;-1.0178;-0.556;0.4394;1.0346;0;300;300;300;530.999;584.569;650.174;23;15.5182;-0.0672;-0.3163;0.1795;0.9355
82600018;1;2;4;0;1.4083;0.4152;1.4721;-0.3513;0.1687;1.1793;-0.6985;-0.6031;-0.7857;-1.6688;0;300;300;360;590.274;599.741;618.836;23;15.5182;-0.0672;-0.3163;0.1795;0.9355
82600018;1;0;5;0;1.4083;-0.7535;-0.7823;-1.8164;-0.1662;-1.1123;-1.9884;-1.2455;1.314;0.0224;2;250;250;250;335.359;369.104;393.031;23;15.5182;-0.0672;-0.3163;0.1795;0.9355
82600018;0;2;1;0;0.7405;-0.338;-0.7823;-1.7743;-1.8434;-1.4469;-1.2292;-2.6788;-0.1719;-0.6576;0;300;300;240;493.772;355.55;389.742;23;15.5182;-0.0672;-0.3163;0.1795;0.9355
82600018;1;2;4;0;-0.6133;-0.0323;0.2907;-0.8847;-0.3902;-1.5971;-0.3222;-1.0722;-0.7161;-0.9167;2;360;360;300;541.965;588.373;552.698;23;15.5182;-0.0672;-0.3163;0.1795;0.9355
82600018;0;2;0;0;1.8905;-0.4415;0.7703;-0.1323;-0.7397;0.2646;0.2386;-2.5582;-1.415;-1.5824;1;240;240;300;429.8;378.066;295.765;23;15.5182;-0.0672;-0.3163;0.1795;0.9355
82600019;0;0;4;0;1.4083;-0.8997;1.1625;0.9669;0.0782;1.1793;0.9367;0.5425;-0.2023;-1.1847;2;330;330;550;460.349;438.225;369.789;23;18.9318;0.1;-0.3163;-0.335;0.2266
82600027;0;0;4;0;0.4637;-0.3184;0.7703;1.0021;0.2741;1.1793;0.8854;-0.3716;-0.0348;1.0346;0;240;240;360;568.718;662.365;564.851;28;17.1429;1.6863;1.2432;1.2343;1.4533
