"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"school_changes";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav";"teach_multicult"
38000006;1;0;4;0;-0.3799;0.6818;-0.7823;-0.3748;0.0779;1.1793;-0.6628;-0.2078;-1.1481;-1.1847;0;200;300;100;523.06;482.874;517.484;23;7.9121;0.1;-0.5869;-0.5417;-0.1274;-1.0542
38000006;1;2;4;0;1.0671;-0.6306;-0.7823;-0.7677;0.2885;-1.2;-1.5174;-0.887;-0.4781;0.005;0;200;250;100;528.955;435.443;451.846;23;7.9121;0.1;-0.5869;-0.5417;-0.1274;-1.0542
38000006;1;0;6;1;0.4637;0.319;-0.7823;0.2338;0.2294;1.1793;-0.0064;0.1429;-2.7106;1.0346;0;240;240;120;471.156;461.74;374.682;23;7.9121;0.1;-0.5869;-0.5417;-0.1274;-1.0542
38000012;1;3;6;1;1.8905;-0.2143;-0.7823;-0.912;-0.485;-1.0752;-0.2711;-0.2056;-1.7418;-0.6576;0;385;495;165;398.098;362.32;313.336;18;6.5806;0.6191;0.3399;-0.8965;-0.1274;0.9042
38000014;0;0;6;0;0.1097;0.6344;-0.7823;0.0655;0.4455;1.1793;-0.1061;0.0524;1.314;0.5029;0;165;220;110;550.982;568.904;505.468;28;8.8772;1.0245;0.9995;0.7586;-0.7733;-0.5083
38000014;1;0;3;1;1.8905;0.9683;-0.7823;-0.6355;-0.1778;-0.1357;-0.7659;-1.1845;-1.1481;-0.6576;1;165;220;110;326.49;331.926;270.823;28;8.8772;1.0245;0.9995;0.7586;-0.7733;-0.5083
38000016;0;0;6;0;0.4637;2.7249;-0.7823;0.6878;1.4675;-0.1357;0.1496;1.157;-1.555;-0.6576;0;240;360;120;428;512.858;478.596;53;8.8605;-0.6884;0.43;0.7586;-1.2401;0.9042
38000016;0;0;2;0;-1.8939;-0.3184;-0.7823;-0.3383;-0.0063;0.0477;-0.325;-1.4257;-1.555;-2.0851;0;180;360;120;429.573;462.667;433.911;53;8.8605;-0.6884;0.43;0.7586;-1.2401;0.9042
38000017;1;2;5;0;0.4637;0.0348;1.5082;-0.997;-1.8379;-0.6122;-0.4593;-0.8166;-0.5973;-0.6576;0;200;250;150;534.757;482.196;567.271;18;6.9024;0.1;0.7577;0.0963;1.3735;-0.1764
38000022;0;2;1;1;0.4637;-1.0572;2.4122;-2.5534;-0.5948;-1.0527;-2.5587;-2.7829;-0.2327;-0.6576;1;200;200;100;421.447;446.329;453.495;23;6.0588;0.6221;0.2833;0.7586;1.662;0.9042
38000023;1;0;4;0;-0.4342;0.9683;-0.7823;-0.1286;-0.4303;1.1793;0.1432;-0.8008;0.2148;0.6364;0;280;280;140;393.309;375.253;379.704;18;6.049;0.8339;2.4895;0.324;0.5986;0.9042
38000023;1;2;6;0;-1.8939;0.1935;0.8233;1.8399;1.4675;1.1793;0.5056;0.8707;-1.1481;-2.4468;1;360;240;120;582.853;467.234;418.241;18;6.049;0.8339;2.4895;0.324;0.5986;0.9042
38000025;0;0;4;0;0.1097;-0.3184;-0.7823;-0.6596;0.5763;0.0477;-1.5276;-1.0748;1.314;-0.6576;0;180;240;120;563.659;565.232;568.506;23;12.57;0.265;0.0792;-0.8207;0.6479;-1.0542
