"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav";"teach_multicult"
75200001;0;3;6;0;-1.1858;-3.2367;-0.7823;0.2941;0.2363;1.1793;0.3933;0.9332;-1.1481;0.2169;240;240;120;510.997;446.596;478.584;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;0;2;6;0;-0.3799;-0.1769;-0.7823;0.8397;0.9716;0.7604;0.467;1.3967;1.314;1.0346;280;280;210;579.668;448.396;576.141;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;0;2;6;0;-0.3799;-0.3184;0.2907;-0.1943;-1.8427;-0.4396;0.5028;-0.2233;-0.3673;-1.3939;240;240;180;529.885;477;493.724;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;0;0;6;0;0.4637;-0.4509;-0.7823;0.2092;-1.2382;0.0477;0.7104;0.2654;1.314;-0.6576;280;280;140;470.301;516.816;499.366;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;1;3;6;0;-0.7592;0.3241;-0.7823;2.9537;1.6414;1.1793;2.2819;2.1621;1.314;-0.6576;240;240;180;551.56;569.63;654.781;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;0;2;6;0;1.8905;-1.0802;2.896;0.1816;0.0983;-0.5813;0.4404;-0.8348;1.314;-1.3939;300;300;150;436.287;459.99;377.953;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;0;2;6;0;0.4637;-1.866;-0.7823;0.4857;0.6472;1.1793;0.2533;1.0143;-0.7857;1.0346;260;260;195;392.861;493.682;447.959;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;1;0;6;0;0.4637;0.1971;-0.7823;2.6726;1.3363;1.1793;2.17;1.7777;1.314;-0.6576;240;240;180;531.483;494.511;419.617;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;0;0;6;0;0.4637;-0.3184;0.2907;-0.0572;-0.4983;0.0477;0.6373;0.8973;1.314;1.0346;350;280;210;402.695;534.726;493.353;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200003;1;3;0;0;-1.4242;0.6818;-0.7823;-0.3464;-1.8427;-0.4396;0.463;-2.3476;-0.2023;0.2127;220;165;165;567.628;562.75;523.533;13.8182;1.2478;0.43;0.6482;0.2266;-0.9058
